,ticker,company,industry,location,dividend,dividend_prc,latitude,longitude
0,MMM,3M,Industrials,"Saint Paul, Minnesota",2.08,3.8,44.9537029,-93.0899578
1,AOS,A. O. Smith,Industrials,"Milwaukee, Wisconsin",0.8,12.38,43.0389025,-87.9064736
2,ABT,Abbott,Health Care,"North Chicago, Illinois",1.68,9.19,42.325578,-87.8411818
3,ACN,Accenture,Information Technology,"Dublin, Ireland",1.12,3.58,53.3498053,-6.2603097
4,ATVI,Activision Blizzard,Communication Services,"Santa Monica, California",0.15,1.55,34.0194543,-118.4911912
5,ADM,ADM,Consumer Staples,"Chicago, Illinois",0.59,2.81,41.8781136,-87.6297982
6,ADP,ADP,Industrials,"Roseland, New Jersey",1.36,5.06,40.8206555,-74.2937594
7,AAP,Advance Auto Parts,Consumer Discretionary,"Raleigh, North Carolina",0.24,0.55,35.7795897,-78.6381787
8,AFL,Aflac,Financials,"Columbus, Georgia",1.12,6.66,32.4609764,-84.9877094
9,APD,Air Products and Chemicals,Materials,"Allentown, Pennsylvania",1.92,3.53,40.6022939,-75.4714098
10,ALB,Albemarle Corporation,Materials,"Charlotte, North Carolina",0.55,1.62,35.2270869,-80.8431267
11,ARE,Alexandria Real Estate Equities,Real Estate,"Pasadena, California",1.4,3.12,34.1477849,-118.1445155
12,LNT,Alliant Energy,Utilities,"Madison, Wisconsin",1.56,15.66,43.0721661,-89.4007501
13,ALL,Allstate,Financials,"Glenview, Illinois",0.8,3.64,42.0778065,-87.8223368
14,MO,Altria,Consumer Staples,"Richmond, Virginia",1.42,14.54,37.5407246,-77.4360481
15,AEE,Ameren,Utilities,"St. Louis, Missouri",1.54,9.66,38.6270025,-90.19940419999999
16,AEP,American Electric Power,Utilities,"Columbus, Ohio",1.66,8.44,39.9611755,-82.99879419999999
17,AXP,American Express,Financials,"New York City, New York",0.54,1.6,40.7127753,-74.0059728
18,AWK,American Water Works,Utilities,"Camden, New Jersey",0.85,5.34,39.9259463,-75.1196199
19,AMP,Ameriprise Financial,Financials,"Minneapolis, Minnesota",0.7,2.33,44.977753,-93.2650108
20,ABC,AmerisourceBergen,Health Care,"Conshohocken, Pennsylvania",0.32,1.42,40.0792766,-75.3015714
21,AME,Ametek,Industrials,"Berwyn, Pennsylvania",0.24,1.44,40.045824,-75.4395931
22,APH,Amphenol,Information Technology,"Wallingford, Connecticut",0.06,0.61,41.4570108,-72.8230736
23,ADI,Analog Devices,Information Technology,"Wilmington, Massachusetts",0.84,3.93,42.5481714,-71.1724467
24,AON,Aon,Financials,"London, UK",0.6,1.73,51.5072178,-0.1275862
25,APA,APA Corporation,Energy,"Houston, Texas",0.6,0.73,29.7604267,-95.3698028
26,AMAT,Applied Materials,Information Technology,"Santa Clara, California",0.26,2.69,37.3541079,-121.9552356
27,AJG,Arthur J. Gallagher & Co.,Financials,"Rolling Meadows, Illinois",1.28,7.4,42.0841936,-88.0131275
28,AIZ,Assurant,Financials,"New York City, New York",0.62,2.46,40.7127753,-74.0059728
29,T,AT&T,Communication Services,"Dallas, Texas",1.67,18.55,32.7766642,-96.79698789999999
30,ATO,Atmos Energy,Utilities,"Dallas, Texas",1.34,7.07,32.7766642,-96.79698789999999
31,AVB,AvalonBay Communities,Real Estate,"Arlington, Virginia",3.57,5.88,38.8816208,-77.09098089999999
32,AVY,Avery Dennison,Materials,"Glendale, California",0.8,3.17,34.1425078,-118.255075
33,BALL,Ball Corporation,Materials,"Broomfield, Colorado",0.4,3.47,39.9205411,-105.0866504
34,BAC,Bank of America,Financials,"Charlotte, North Carolina",0.04,0.32,35.2270869,-80.8431267
35,BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,"Columbus, Ohio",1.6,17.08,39.9611755,-82.99879419999999
36,BAX,Baxter International,Health Care,"Deerfield, Illinois",1.16,5.57,42.1711365,-87.8445119
37,BDX,Becton Dickinson,Health Care,"Franklin Lakes, New Jersey",1.48,2.57,41.0167639,-74.2057011
38,WRB,Berkley,Financials,"Greenwich, Connecticut",0.26,2.9,41.0262417,-73.6281964
39,BBY,Best Buy,Consumer Discretionary,"Richfield, Minnesota",0.56,2.19,44.8832982,-93.28300209999999
40,TECH,Bio-Techne,Health Care,"Minneapolis, Minnesota",1.04,7.69,44.977753,-93.2650108
41,BLK,BlackRock,Financials,"New York City, New York",3.78,3.0,40.7127753,-74.0059728
42,BK,BNY Mellon,Financials,"New York City, New York",0.36,1.73,40.7127753,-74.0059728
43,BA,Boeing,Industrials,"Chicago, Illinois",1.68,3.51,41.8781136,-87.6297982
44,BXP,Boston Properties,Real Estate,"Boston, Massachusetts",2.0,4.15,42.3600825,-71.0588801
45,BMY,Bristol Myers Squibb,Health Care,"New York City, New York",1.28,7.45,40.7127753,-74.0059728
46,BR,Broadridge Financial Solutions,Industrials,"Lake Success, New York",0.57,3.48,40.7698453,-73.70904279999999
47,BRO,Brown & Brown,Financials,"Daytona Beach, Florida",0.31,3.81,29.2108147,-81.0228331
