,ticker,company,industry,location,dividend,dividend_prc,latitude,longitude
0,MMM,3M,Industrials,"Saint Paul, Minnesota",1.98,4.03,44.9537029,-93.0899578
1,AOS,A. O. Smith,Industrials,"Milwaukee, Wisconsin",0.73,15.91,43.0389025,-87.9064736
2,ABT,Abbott,Health Care,"North Chicago, Illinois",1.37,7.32,42.325578,-87.8411818
3,ACN,Accenture,Information Technology,"Dublin, Ireland",0.42,1.36,53.3498053,-6.2603097
4,ADM,ADM,Consumer Staples,"Chicago, Illinois",0.5,2.09,41.8781136,-87.6297982
5,ADP,ADP,Industrials,"Roseland, New Jersey",1.16,4.48,40.8206555,-74.2937594
6,AAP,Advance Auto Parts,Consumer Discretionary,"Raleigh, North Carolina",0.24,0.72,35.7795897,-78.6381787
7,AFL,Aflac,Financials,"Columbus, Georgia",0.92,4.47,32.4609764,-84.9877094
8,APD,Air Products and Chemicals,Materials,"Allentown, Pennsylvania",1.7,2.87,40.6022939,-75.4714098
9,ALB,Albemarle Corporation,Materials,"Charlotte, North Carolina",0.46,1.48,35.2270869,-80.8431267
10,ARE,Alexandria Real Estate Equities,Real Estate,"Pasadena, California",3.16,5.07,34.1477849,-118.1445155
11,LNT,Alliant Energy,Utilities,"Madison, Wisconsin",1.37,13.26,43.0721661,-89.4007501
12,ALL,Allstate,Financials,"Glenview, Illinois",1.61,4.82,42.0778065,-87.8223368
13,MO,Altria,Consumer Staples,"Richmond, Virginia",52.59,589.98,37.5407246,-77.4360481
14,AEE,Ameren,Utilities,"St. Louis, Missouri",2.54,10.63,38.6270025,-90.19940419999999
15,AEP,American Electric Power,Utilities,"Columbus, Ohio",1.64,7.06,39.9611755,-82.99879419999999
16,AXP,American Express,Financials,"New York City, New York",0.69,1.87,40.7127753,-74.0059728
17,AIG,American International Group,Financials,"New York City, New York",0.82,0.17,40.7127753,-74.0059728
18,AWK,American Water Works,Utilities,"Camden, New Jersey",0.2,1.37,39.9259463,-75.1196199
19,AMP,Ameriprise Financial,Financials,"Minneapolis, Minnesota",0.62,1.73,44.977753,-93.2650108
20,ABC,AmerisourceBergen,Health Care,"Conshohocken, Pennsylvania",0.3,1.74,40.0792766,-75.3015714
21,AME,Ametek,Industrials,"Berwyn, Pennsylvania",0.24,1.3,40.045824,-75.4395931
22,APH,Amphenol,Information Technology,"Wallingford, Connecticut",0.06,0.63,41.4570108,-72.8230736
23,ADI,Analog Devices,Information Technology,"Wilmington, Massachusetts",0.76,3.68,42.5481714,-71.1724467
24,AON,Aon,Financials,"London, UK",0.6,1.59,51.5072178,-0.1275862
25,APA,APA Corporation,Energy,"Houston, Texas",0.7,0.81,29.7604267,-95.3698028
26,AMAT,Applied Materials,Information Technology,"Santa Clara, California",0.24,1.68,37.3541079,-121.9552356
27,AJG,Arthur J. Gallagher & Co.,Financials,"Rolling Meadows, Illinois",1.27,8.15,42.0841936,-88.0131275
28,AIZ,Assurant,Financials,"New York City, New York",0.52,1.13,40.7127753,-74.0059728
29,T,AT&T,Communication Services,"Dallas, Texas",1.56,13.31,32.7766642,-96.79698789999999
30,ATO,Atmos Energy,Utilities,"Dallas, Texas",1.3,7.79,32.7766642,-96.79698789999999
31,AVB,AvalonBay Communities,Real Estate,"Arlington, Virginia",2.64,4.98,38.8816208,-77.09098089999999
32,AVY,Avery Dennison,Materials,"Glendale, California",1.64,4.77,34.1425078,-118.255075
33,BALL,Ball Corporation,Materials,"Broomfield, Colorado",0.4,3.84,39.9205411,-105.0866504
34,BAC,Bank of America,Financials,"Charlotte, North Carolina",2.56,9.47,35.2270869,-80.8431267
35,BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,"Columbus, Ohio",0.6,8.94,39.9611755,-82.99879419999999
36,BAX,Baxter International,Health Care,"Deerfield, Illinois",0.87,3.43,42.1711365,-87.8445119
37,BDX,Becton Dickinson,Health Care,"Franklin Lakes, New Jersey",1.14,1.77,41.0167639,-74.2057011
38,WRB,Berkley,Financials,"Greenwich, Connecticut",0.22,2.47,41.0262417,-73.6281964
39,BBY,Best Buy,Consumer Discretionary,"Richfield, Minnesota",0.52,1.81,44.8832982,-93.28300209999999
40,BLK,BlackRock,Financials,"New York City, New York",3.01,2.14,40.7127753,-74.0059728
41,BK,BNY Mellon,Financials,"New York City, New York",0.96,3.3,40.7127753,-74.0059728
42,BA,Boeing,Industrials,"Chicago, Illinois",1.55,2.64,41.8781136,-87.6297982
43,BWA,BorgWarner,Consumer Discretionary,"Auburn Hills, Michigan",0.5,2.81,42.6875323,-83.2341028
44,BXP,Boston Properties,Real Estate,"Boston, Massachusetts",8.7,16.05,42.3600825,-71.0588801
45,BMY,Bristol Myers Squibb,Health Care,"New York City, New York",1.21,8.69,40.7127753,-74.0059728
46,BR,Broadridge Financial Solutions,Industrials,"Lake Success, New York",0.25,1.68,40.7698453,-73.70904279999999
47,BRO,Brown & Brown,Financials,"Daytona Beach, Florida",0.28,3.24,29.2108147,-81.0228331
48,BG,Bunge Limited,Consumer Staples,"Chesterfield, Missouri",0.7,0.92,38.6631083,-90.5770675
49,CHRW,C.H. Robinson,Industrials,"Eden Prairie, Minnesota",0.88,2.23,44.8546856,-93.47078599999999
50,CPT,Camden Property Trust,Real Estate,"Houston, Texas",2.79,11.09,29.7604267,-95.3698028
51,CPB,Campbell Soup Company,Consumer Staples,"Camden, New Jersey",0.88,4.02,39.9259463,-75.1196199
52,COF,Capital One,Financials,"Tysons Corner, Virginia",1.15,3.09,38.9187222,-77.2310925
53,CAH,Cardinal Health,Health Care,"Dublin, Ohio",0.52,2.07,40.0992294,-83.1140771
54,CCL,Carnival,Consumer Discretionary,"Miami, Florida",1.6,5.67,25.7616798,-80.1917902
55,CAT,Caterpillar Inc.,Industrials,"Irving, Texas",1.5,3.18,32.8140177,-96.9488945
56,CE,Celanese,Materials,"Irving, Texas",0.16,0.5,32.8140177,-96.9488945
57,CNP,CenterPoint Energy,Utilities,"Houston, Texas",0.72,8.27,29.7604267,-95.3698028
58,CF,CF Industries,Materials,"Deerfield, Illinois",0.32,1.68,42.1711365,-87.8445119
59,SCHW,Charles Schwab Corporation,Financials,"Westlake, Texas",0.21,1.17,32.991235,-97.19501380000001
60,CVX,Chevron Corporation,Energy,"San Ramon, California",2.46,5.07,37.7643595,-121.9539616
61,CB,Chubb Limited,Financials,"Zurich, Switzerland",2.37,6.94,47.3768866,8.541694
62,CHD,Church & Dwight,Consumer Staples,"Ewing, New Jersey",0.33,3.0,40.2599864,-74.79091249999999
63,CI,Cigna,Health Care,"Bloomfield, Connecticut",0.05,0.12,41.826488,-72.73009449999999
64,CINF,Cincinnati Financial,Financials,"Fairfield, Ohio",1.52,8.36,39.3454673,-84.5603187
65,CTAS,Cintas,Industrials,"Mason, Ohio",0.46,1.79,39.3600586,-84.309939
66,C,Citigroup,Financials,"New York City, New York",1.5,0.71,40.7127753,-74.0059728
67,CLX,Clorox,Consumer Staples,"Oakland, California",1.66,4.53,37.8043514,-122.2711639
68,CME,CME Group,Financials,"Chicago, Illinois",9.31,20.33,41.8781136,-87.6297982
69,CMS,CMS Energy,Utilities,"Jackson, Michigan",0.32,3.65,42.245869,-84.40134619999999
70,KO,Coca-Cola Company (The),Consumer Staples,"Atlanta, Georgia",1.48,8.14,33.748752,-84.38768449999999
71,CL,Colgate-Palmolive,Consumer Staples,"New York City, New York",1.52,5.93,40.7127753,-74.0059728
72,CMCSA,Comcast,Communication Services,"Philadelphia, Pennsylvania",0.12,1.78,39.9525839,-75.1652215
73,CMA,Comerica,Financials,"Dallas, Texas",2.62,11.14,32.7766642,-96.79698789999999
74,CAG,Conagra Brands,Consumer Staples,"Chicago, Illinois",0.76,7.13,41.8781136,-87.6297982
75,COP,ConocoPhillips,Energy,"Houston, Texas",1.82,4.93,29.7604267,-95.3698028
76,ED,Consolidated Edison,Utilities,"New York City, New York",2.34,10.99,40.7127753,-74.0059728
77,COO,CooperCompanies,Health Care,"San Ramon, California",0.06,0.16,37.7643595,-121.9539616
78,GLW,Corning Inc.,Information Technology,"Corning, New York",0.2,1.19,42.1428521,-77.05469029999999
79,COST,Costco,Consumer Staples,"Issaquah, Washington",0.61,1.24,47.5301011,-122.0326191
80,CTRA,Coterra,Energy,"Houston, Texas",0.12,1.41,29.7604267,-95.3698028
81,CSX,CSX,Industrials,"Jacksonville, Florida",0.7,14.9,30.3321838,-81.65565099999999
82,CMI,Cummins,Industrials,"Columbus, Indiana",0.68,1.56,39.2014404,-85.9213796
83,CVS,CVS Health,Health Care,"Woonsocket, Rhode Island",0.25,0.87,42.00287609999999,-71.51478390000001
84,DHI,D.R. Horton,Consumer Discretionary,"Arlington, Texas",0.45,4.13,32.735687,-97.10806559999999
85,DHR,Danaher Corporation,Health Care,"Washington, D.C.",0.12,0.42,38.9071923,-77.0368707
86,DRI,Darden Restaurants,Consumer Discretionary,"Orlando, Florida",0.74,4.16,28.5383832,-81.3789269
