,ticker,company,industry,location,dividend,dividend_prc,latitude,longitude
0,MMM,3M,Industrials,"Saint Paul, Minnesota",2.38,7.89,44.9537029,-93.0899578
1,AOS,A. O. Smith,Industrials,"Milwaukee, Wisconsin",0.52,28.07,43.0389025,-87.9064736
2,ABT,Abbott,Health Care,"North Chicago, Illinois",0.7,5.82,42.325578,-87.8411818
3,ADM,ADM,Consumer Staples,"Chicago, Illinois",0.2,2.67,41.8781136,-87.6297982
4,ADBE,Adobe Inc.,Information Technology,"San Jose, California",0.05,0.28,37.33874,-121.8852525
5,ADP,ADP,Industrials,"Roseland, New Jersey",0.41,1.49,40.8206555,-74.2937594
6,AFL,Aflac,Financials,"Columbus, Georgia",0.27,2.69,32.4609764,-84.9877094
7,APD,Air Products and Chemicals,Materials,"Allentown, Pennsylvania",0.78,3.24,40.6022939,-75.4714098
8,ALB,Albemarle Corporation,Materials,"Charlotte, North Carolina",0.52,6.8,35.2270869,-80.8431267
9,ARE,Alexandria Real Estate Equities,Real Estate,"Pasadena, California",1.78,10.34,34.1477849,-118.1445155
10,LNT,Alliant Energy,Utilities,"Madison, Wisconsin",2.0,32.84,43.0721661,-89.4007501
11,ALL,Allstate,Financials,"Glenview, Illinois",0.74,3.28,42.0778065,-87.8223368
12,MO,Altria,Consumer Staples,"Richmond, Virginia",2.17,70.69,37.5407246,-77.4360481
13,AEE,Ameren,Utilities,"St. Louis, Missouri",2.54,16.27,38.6270025,-90.19940419999999
14,AEP,American Electric Power,Utilities,"Columbus, Ohio",2.4,14.15,39.9611755,-82.99879419999999
15,AXP,American Express,Financials,"New York City, New York",0.32,1.09,40.7127753,-74.0059728
16,AIG,American International Group,Financials,"New York City, New York",0.15,0.01,40.7127753,-74.0059728
17,AME,Ametek,Industrials,"Berwyn, Pennsylvania",0.24,6.98,40.045824,-75.4395931
18,AON,Aon,Financials,"London, UK",0.89,3.44,51.5072178,-0.1275862
19,APA,APA Corporation,Energy,"Houston, Texas",0.14,0.8,29.7604267,-95.3698028
20,AJG,Arthur J. Gallagher & Co.,Financials,"Rolling Meadows, Illinois",0.62,4.15,42.0841936,-88.0131275
21,T,AT&T,Communication Services,"Dallas, Texas",1.13,11.96,32.7766642,-96.79698789999999
22,ATO,Atmos Energy,Utilities,"Dallas, Texas",1.16,11.15,32.7766642,-96.79698789999999
23,ADSK,Autodesk,Information Technology,"San Francisco, California",0.24,3.55,37.7749295,-122.4194155
24,AVB,AvalonBay Communities,Real Estate,"Arlington, Virginia",3.12,15.84,38.8816208,-77.09098089999999
25,AVY,Avery Dennison,Materials,"Glendale, California",1.2,3.82,34.1425078,-118.255075
26,BALL,Ball Corporation,Materials,"Broomfield, Colorado",0.6,26.85,39.9205411,-105.0866504
27,BAC,Bank of America,Financials,"Charlotte, North Carolina",2.24,15.76,35.2270869,-80.8431267
28,BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,"Columbus, Ohio",0.3,6.3,39.9611755,-82.99879419999999
29,BAX,Baxter International,Health Care,"Deerfield, Illinois",1.16,7.43,42.1711365,-87.8445119
30,BDX,Becton Dickinson,Health Care,"Franklin Lakes, New Jersey",0.38,1.57,41.0167639,-74.2057011
31,WRB,Berkley,Financials,"Greenwich, Connecticut",0.52,19.28,41.0262417,-73.6281964
32,BK,BNY Mellon,Financials,"New York City, New York",0.72,2.48,40.7127753,-74.0059728
33,BA,Boeing,Industrials,"Chicago, Illinois",0.65,1.66,41.8781136,-87.6297982
34,BWA,BorgWarner,Consumer Discretionary,"Auburn Hills, Michigan",0.6,15.89,42.6875323,-83.2341028
35,BXP,Boston Properties,Real Estate,"Boston, Massachusetts",2.22,14.94,42.3600825,-71.0588801
36,BMY,Bristol Myers Squibb,Health Care,"New York City, New York",1.07,4.25,40.7127753,-74.0059728
37,BRO,Brown & Brown,Financials,"Daytona Beach, Florida",0.3,7.73,29.2108147,-81.0228331
38,CHRW,C.H. Robinson,Industrials,"Eden Prairie, Minnesota",0.2,1.97,44.8546856,-93.47078599999999
39,CPT,Camden Property Trust,Real Estate,"Houston, Texas",2.39,20.31,29.7604267,-95.3698028
40,CPB,Campbell Soup Company,Consumer Staples,"Camden, New Jersey",0.9,5.91,39.9259463,-75.1196199
41,COF,Capital One,Financials,"Tysons Corner, Virginia",0.11,0.22,38.9187222,-77.2310925
42,CAH,Cardinal Health,Health Care,"Dublin, Ohio",0.11,0.35,40.0992294,-83.1140771
43,CCL,Carnival,Consumer Discretionary,"Miami, Florida",0.42,2.44,25.7616798,-80.1917902
44,CAT,Caterpillar Inc.,Industrials,"Irving, Texas",1.37,11.87,32.8140177,-96.9488945
45,CNP,CenterPoint Energy,Utilities,"Houston, Texas",1.5,10.18,29.7604267,-95.3698028
46,SCHW,Charles Schwab Corporation,Financials,"Westlake, Texas",0.04,0.28,32.991235,-97.19501380000001
47,CVX,Chevron Corporation,Energy,"San Ramon, California",2.6,13.24,37.7643595,-121.9539616
48,CB,Chubb Limited,Financials,"Zurich, Switzerland",1.71,9.74,47.3768866,8.541694
49,CHD,Church & Dwight,Consumer Staples,"Ewing, New Jersey",0.29,9.88,40.2599864,-74.79091249999999
50,CI,Cigna,Health Care,"Bloomfield, Connecticut",1.27,4.13,41.826488,-72.73009449999999
51,CINF,Cincinnati Financial,Financials,"Fairfield, Ohio",0.82,4.56,39.3454673,-84.5603187
52,CTAS,Cintas,Industrials,"Mason, Ohio",0.22,0.62,39.3600586,-84.309939
53,C,Citigroup,Financials,"New York City, New York",0.58,0.19,40.7127753,-74.0059728
54,CLX,Clorox,Consumer Staples,"Oakland, California",0.84,4.35,37.8043514,-122.2711639
55,CMS,CMS Energy,Utilities,"Jackson, Michigan",1.46,10.12,42.245869,-84.40134619999999
56,KO,Coca-Cola Company (The),Consumer Staples,"Atlanta, Georgia",0.71,5.21,33.748752,-84.38768449999999
57,CL,Colgate-Palmolive,Consumer Staples,"New York City, New York",0.65,3.93,40.7127753,-74.0059728
58,CMA,Comerica,Financials,"Dallas, Texas",1.72,6.14,32.7766642,-96.79698789999999
59,CAG,Conagra Brands,Consumer Staples,"Chicago, Illinois",0.9,11.63,41.8781136,-87.6297982
60,COP,ConocoPhillips,Energy,"Houston, Texas",1.38,12.78,29.7604267,-95.3698028
61,ED,Consolidated Edison,Utilities,"New York City, New York",2.2,17.18,40.7127753,-74.0059728
