,ticker,company,industry,location,dividend,dividend_prc,latitude,longitude
0,MMM,3M,Industrials,"Saint Paul, Minnesota",2.3,9.09,44.9537029,-93.0899578
1,AOS,A. O. Smith,Industrials,"Milwaukee, Wisconsin",0.25,12.36,43.0389025,-87.9064736
2,ABT,Abbott,Health Care,"North Chicago, Illinois",0.25,2.53,42.325578,-87.8411818
3,ADM,ADM,Consumer Staples,"Chicago, Illinois",0.19,3.03,41.8781136,-87.6297982
4,ADBE,Adobe Inc.,Information Technology,"San Jose, California",0.1,0.38,37.33874,-121.8852525
5,ADP,ADP,Industrials,"Roseland, New Jersey",0.35,1.37,40.8206555,-74.2937594
6,AFL,Aflac,Financials,"Columbus, Georgia",0.32,4.13,32.4609764,-84.9877094
7,APD,Air Products and Chemicals,Materials,"Allentown, Pennsylvania",0.74,3.91,40.6022939,-75.4714098
8,ALB,Albemarle Corporation,Materials,"Charlotte, North Carolina",0.43,6.4,35.2270869,-80.8431267
9,ARE,Alexandria Real Estate Equities,Real Estate,"Pasadena, California",1.29,8.99,34.1477849,-118.1445155
10,LNT,Alliant Energy,Utilities,"Madison, Wisconsin",1.5,26.7,43.0721661,-89.4007501
11,ALL,Allstate,Financials,"Glenview, Illinois",0.66,4.6,42.0778065,-87.8223368
12,MO,Altria,Consumer Staples,"Richmond, Virginia",1.97,130.01,37.5407246,-77.4360481
13,AEE,Ameren,Utilities,"St. Louis, Missouri",2.54,21.63,38.6270025,-90.19940419999999
14,AEP,American Electric Power,Utilities,"Columbus, Ohio",2.4,19.13,39.9611755,-82.99879419999999
15,AXP,American Express,Financials,"New York City, New York",0.38,1.21,40.7127753,-74.0059728
16,AIG,American International Group,Financials,"New York City, New York",0.19,0.02,40.7127753,-74.0059728
17,AME,Ametek,Industrials,"Berwyn, Pennsylvania",0.24,9.93,40.045824,-75.4395931
18,APA,APA Corporation,Energy,"Houston, Texas",0.12,0.91,29.7604267,-95.3698028
19,AJG,Arthur J. Gallagher & Co.,Financials,"Rolling Meadows, Illinois",1.09,9.69,42.0841936,-88.0131275
20,T,AT&T,Communication Services,"Dallas, Texas",0.75,8.3,32.7766642,-96.79698789999999
21,ATO,Atmos Energy,Utilities,"Dallas, Texas",1.12,14.39,32.7766642,-96.79698789999999
22,ADSK,Autodesk,Information Technology,"San Francisco, California",0.18,2.09,37.7749295,-122.4194155
23,AVB,AvalonBay Communities,Real Estate,"Arlington, Virginia",2.2,14.13,38.8816208,-77.09098089999999
24,AVY,Avery Dennison,Materials,"Glendale, California",1.08,3.28,34.1425078,-118.255075
25,BALL,Ball Corporation,Materials,"Broomfield, Colorado",0.6,37.22,39.9205411,-105.0866504
26,BAC,Bank of America,Financials,"Charlotte, North Carolina",2.0,14.53,35.2270869,-80.8431267
27,BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,"Columbus, Ohio",0.45,8.16,39.9611755,-82.99879419999999
28,BAX,Baxter International,Health Care,"Deerfield, Illinois",0.29,2.56,42.1711365,-87.8445119
29,BDX,Becton Dickinson,Health Care,"Franklin Lakes, New Jersey",0.37,1.92,41.0167639,-74.2057011
30,WRB,Berkley,Financials,"Greenwich, Connecticut",0.39,26.39,41.0262417,-73.6281964
31,BK,BNY Mellon,Financials,"New York City, New York",0.51,2.07,40.7127753,-74.0059728
32,BA,Boeing,Industrials,"Chicago, Illinois",0.56,2.11,41.8781136,-87.6297982
33,BWA,BorgWarner,Consumer Discretionary,"Auburn Hills, Michigan",0.45,14.67,42.6875323,-83.2341028
34,BXP,Boston Properties,Real Estate,"Boston, Massachusetts",1.96,15.66,42.3600825,-71.0588801
35,BMY,Bristol Myers Squibb,Health Care,"New York City, New York",0.74,2.82,40.7127753,-74.0059728
36,BRO,Brown & Brown,Financials,"Daytona Beach, Florida",0.52,26.69,29.2108147,-81.0228331
37,CHRW,C.H. Robinson,Industrials,"Eden Prairie, Minnesota",0.32,4.32,44.8546856,-93.47078599999999
38,CPT,Camden Property Trust,Real Estate,"Houston, Texas",2.76,31.25,29.7604267,-95.3698028
39,CPB,Campbell Soup Company,Consumer Staples,"Camden, New Jersey",0.68,4.13,39.9259463,-75.1196199
40,COF,Capital One,Financials,"Tysons Corner, Virginia",0.11,0.31,38.9187222,-77.2310925
41,CAH,Cardinal Health,Health Care,"Dublin, Ohio",0.11,0.58,40.0992294,-83.1140771
42,CCL,Carnival,Consumer Discretionary,"Miami, Florida",0.42,2.51,25.7616798,-80.1917902
43,CAT,Caterpillar Inc.,Industrials,"Irving, Texas",0.99,8.86,32.8140177,-96.9488945
44,CNP,CenterPoint Energy,Utilities,"Houston, Texas",1.5,14.99,29.7604267,-95.3698028
45,SCHW,Charles Schwab Corporation,Financials,"Westlake, Texas",0.05,0.25,32.991235,-97.19501380000001
46,CVX,Chevron Corporation,Energy,"San Ramon, California",2.6,13.97,37.7643595,-121.9539616
47,CB,Chubb Limited,Financials,"Zurich, Switzerland",0.46,2.54,47.3768866,8.541694
48,CHD,Church & Dwight,Consumer Staples,"Ewing, New Jersey",0.28,11.11,40.2599864,-74.79091249999999
49,CI,Cigna,Health Care,"Bloomfield, Connecticut",1.23,5.44,41.826488,-72.73009449999999
50,CINF,Cincinnati Financial,Financials,"Fairfield, Ohio",0.74,4.8,39.3454673,-84.5603187
51,CTAS,Cintas,Industrials,"Mason, Ohio",0.28,1.16,39.3600586,-84.309939
52,C,Citigroup,Financials,"New York City, New York",0.46,0.17,40.7127753,-74.0059728
53,CLX,Clorox,Consumer Staples,"Oakland, California",0.61,2.82,37.8043514,-122.2711639
54,CMS,CMS Energy,Utilities,"Jackson, Michigan",1.46,12.29,42.245869,-84.40134619999999
55,KO,Coca-Cola Company (The),Consumer Staples,"Atlanta, Georgia",0.67,4.81,33.748752,-84.38768449999999
56,CL,Colgate-Palmolive,Consumer Staples,"New York City, New York",0.47,2.68,40.7127753,-74.0059728
57,CMA,Comerica,Financials,"Dallas, Texas",1.56,7.11,32.7766642,-96.79698789999999
58,CAG,Conagra Brands,Consumer Staples,"Chicago, Illinois",0.81,10.81,41.8781136,-87.6297982
59,COP,ConocoPhillips,Energy,"Houston, Texas",1.02,12.39,29.7604267,-95.3698028
60,ED,Consolidated Edison,Utilities,"New York City, New York",2.17,19.92,40.7127753,-74.0059728
61,COO,CooperCompanies,Health Care,"San Ramon, California",0.08,0.54,37.7643595,-121.9539616
62,GLW,Corning Inc.,Information Technology,"Corning, New York",0.72,1.8,42.1428521,-77.05469029999999
63,CTRA,Coterra,Energy,"Houston, Texas",0.16,14.66,29.7604267,-95.3698028
64,CSX,CSX,Industrials,"Jacksonville, Florida",1.2,126.37,30.3321838,-81.65565099999999
65,CMI,Cummins,Industrials,"Columbus, Indiana",1.2,23.05,39.2014404,-85.9213796
66,CVS,CVS Health,Health Care,"Woonsocket, Rhode Island",0.17,1.25,42.00287609999999,-71.51478390000001
67,DHI,D.R. Horton,Consumer Discretionary,"Arlington, Texas",0.11,3.27,32.735687,-97.10806559999999
68,DHR,Danaher Corporation,Health Care,"Washington, D.C.",0.06,0.76,38.9071923,-77.0368707
