,ticker,company,industry,location,dividend,dividend_prc,latitude,longitude
0,MMM,3M,Industrials,"Saint Paul, Minnesota",2.5,3.3,44.9537029,-93.0899578
1,AOS,A. O. Smith,Industrials,"Milwaukee, Wisconsin",0.56,3.51,43.0389025,-87.9064736
2,ABT,Abbott,Health Care,"North Chicago, Illinois",35.58,135.78,42.325578,-87.8411818
3,ABBV,AbbVie,Health Care,"North Chicago, Illinois",1.2,4.6,42.325578,-87.8411818
4,ACN,Accenture,Information Technology,"Dublin, Ireland",1.62,2.68,53.3498053,-6.2603097
5,ATVI,Activision Blizzard,Communication Services,"Santa Monica, California",0.19,1.42,34.0194543,-118.4911912
6,ADM,ADM,Consumer Staples,"Chicago, Illinois",0.74,3.12,41.8781136,-87.6297982
7,ADP,ADP,Industrials,"Roseland, New Jersey",1.74,3.83,40.8206555,-74.2937594
8,AAP,Advance Auto Parts,Consumer Discretionary,"Raleigh, North Carolina",0.24,0.33,35.7795897,-78.6381787
9,AES,AES Corporation,Utilities,"Arlington, Virginia",0.16,1.87,38.8816208,-77.09098089999999
10,AFL,Aflac,Financials,"Columbus, Georgia",1.4,6.76,32.4609764,-84.9877094
11,A,Agilent Technologies,Health Care,"Santa Clara, California",0.46,1.58,37.3541079,-121.9552356
12,APD,Air Products and Chemicals,Materials,"Allentown, Pennsylvania",2.77,3.86,40.6022939,-75.4714098
13,ALK,Alaska Air Group,Industrials,"SeaTac, Washington",0.2,0.7,47.4435903,-122.2960726
14,ALB,Albemarle Corporation,Materials,"Charlotte, North Carolina",0.92,1.7,35.2270869,-80.8431267
15,ARE,Alexandria Real Estate Equities,Real Estate,"Pasadena, California",2.49,5.1,34.1477849,-118.1445155
16,LNT,Alliant Energy,Utilities,"Madison, Wisconsin",1.88,10.3,43.0721661,-89.4007501
17,ALL,Allstate,Financials,"Glenview, Illinois",0.97,2.64,42.0778065,-87.8223368
18,MO,Altria,Consumer Staples,"Richmond, Virginia",1.8,9.59,37.5407246,-77.4360481
19,AEE,Ameren,Utilities,"St. Louis, Missouri",1.6,6.84,38.6270025,-90.19940419999999
20,AEP,American Electric Power,Utilities,"Columbus, Ohio",1.92,6.13,39.9611755,-82.99879419999999
21,AXP,American Express,Financials,"New York City, New York",0.83,1.51,40.7127753,-74.0059728
22,AIG,American International Group,Financials,"New York City, New York",0.1,0.25,40.7127753,-74.0059728
23,AMT,American Tower,Real Estate,"Boston, Massachusetts",1.05,1.68,42.3600825,-71.0588801
24,AWK,American Water Works,Utilities,"Camden, New Jersey",1.06,3.31,39.9259463,-75.1196199
25,AMP,Ameriprise Financial,Financials,"Minneapolis, Minnesota",1.94,3.44,44.977753,-93.2650108
26,ABC,AmerisourceBergen,Health Care,"Conshohocken, Pennsylvania",0.84,2.02,40.0792766,-75.3015714
27,AME,Ametek,Industrials,"Berwyn, Pennsylvania",0.24,0.61,40.045824,-75.4395931
28,AMGN,Amgen,Health Care,"Thousand Oaks, California",1.77,2.42,34.1705609,-118.8375937
29,APH,Amphenol,Information Technology,"Wallingford, Connecticut",0.52,3.15,41.4570108,-72.8230736
30,ADI,Analog Devices,Information Technology,"Wilmington, Massachusetts",1.32,3.73,42.5481714,-71.1724467
31,AON,Aon,Financials,"London, UK",0.66,1.24,51.5072178,-0.1275862
32,APA,APA Corporation,Energy,"Houston, Texas",0.74,1.12,29.7604267,-95.3698028
33,AAPL,Apple Inc.,Information Technology,"Cupertino, California",11.4,76.72,37.3229978,-122.0321823
34,AMAT,Applied Materials,Information Technology,"Santa Clara, California",0.38,3.31,37.3541079,-121.9552356
35,APTV,Aptiv,Consumer Discretionary,"Dublin, Ireland",0.51,1.41,53.3498053,-6.2603097
36,AJG,Arthur J. Gallagher & Co.,Financials,"Rolling Meadows, Illinois",1.39,4.41,42.0841936,-88.0131275
37,AIZ,Assurant,Financials,"New York City, New York",0.92,2.55,40.7127753,-74.0059728
38,T,AT&T,Communication Services,"Dallas, Texas",1.79,11.99,32.7766642,-96.79698789999999
39,ATO,Atmos Energy,Utilities,"Dallas, Texas",1.4,4.62,32.7766642,-96.79698789999999
40,AVB,AvalonBay Communities,Real Estate,"Arlington, Virginia",4.18,4.41,38.8816208,-77.09098089999999
41,AVY,Avery Dennison,Materials,"Glendale, California",1.12,3.46,34.1425078,-118.255075
42,BALL,Ball Corporation,Materials,"Broomfield, Colorado",0.49,2.42,39.9205411,-105.0866504
43,BAC,Bank of America,Financials,"Charlotte, North Carolina",0.04,0.39,35.2270869,-80.8431267
44,BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,"Columbus, Ohio",4.15,15.46,39.9611755,-82.99879419999999
45,BAX,Baxter International,Health Care,"Deerfield, Illinois",1.88,5.94,42.1711365,-87.8445119
46,BDX,Becton Dickinson,Health Care,"Franklin Lakes, New Jersey",1.98,2.65,41.0167639,-74.2057011
47,WRB,Berkley,Financials,"Greenwich, Connecticut",1.38,9.6,41.0262417,-73.6281964
48,BBY,Best Buy,Consumer Discretionary,"Richfield, Minnesota",0.68,4.51,44.8832982,-93.28300209999999
49,TECH,Bio-Techne,Health Care,"Minneapolis, Minnesota",1.2,7.47,44.977753,-93.2650108
50,BLK,BlackRock,Financials,"New York City, New York",8.24,4.35,40.7127753,-74.0059728
51,BK,BNY Mellon,Financials,"New York City, New York",0.56,2.57,40.7127753,-74.0059728
52,BA,Boeing,Industrials,"Chicago, Illinois",1.9,2.66,41.8781136,-87.6297982
53,BWA,BorgWarner,Consumer Discretionary,"Auburn Hills, Michigan",0.25,0.66,42.6875323,-83.2341028
54,BXP,Boston Properties,Real Estate,"Boston, Massachusetts",2.6,3.67,42.3600825,-71.0588801
55,BMY,Bristol Myers Squibb,Health Care,"New York City, New York",1.39,5.05,40.7127753,-74.0059728
56,AVGO,Broadcom Inc.,Information Technology,"San Jose, California",0.8,2.83,37.33874,-121.8852525
57,BR,Broadridge Financial Solutions,Industrials,"Lake Success, New York",0.75,3.49,40.7698453,-73.70904279999999
58,BRO,Brown & Brown,Financials,"Daytona Beach, Florida",0.36,2.77,29.2108147,-81.0228331
59,BG,Bunge Limited,Consumer Staples,"Chesterfield, Missouri",1.11,1.99,38.6631083,-90.5770675
60,CHRW,C.H. Robinson,Industrials,"Eden Prairie, Minnesota",1.4,3.05,44.8546856,-93.47078599999999
61,CPT,Camden Property Trust,Real Estate,"Houston, Texas",2.45,5.44,29.7604267,-95.3698028
62,CPB,Campbell Soup Company,Consumer Staples,"Camden, New Jersey",1.16,4.22,39.9259463,-75.1196199
63,COF,Capital One,Financials,"Tysons Corner, Virginia",0.7,1.34,38.9187222,-77.2310925
64,CAH,Cardinal Health,Health Care,"Dublin, Ohio",1.16,3.41,40.0992294,-83.1140771
65,CCL,Carnival,Consumer Discretionary,"Miami, Florida",1.5,5.1,25.7616798,-80.1917902
66,CAT,Caterpillar Inc.,Industrials,"Irving, Texas",2.16,3.37,32.8140177,-96.9488945
67,CBOE,Cboe Global Markets,Financials,"Chicago, Illinois",1.38,4.94,41.8781136,-87.6297982
68,CE,Celanese,Materials,"Irving, Texas",0.42,1.11,32.8140177,-96.9488945
69,CNP,CenterPoint Energy,Utilities,"Houston, Texas",0.82,5.51,29.7604267,-95.3698028
70,CF,CF Industries,Materials,"Deerfield, Illinois",1.6,5.36,42.1711365,-87.8445119
71,SCHW,Charles Schwab Corporation,Financials,"Westlake, Texas",0.24,1.6,32.991235,-97.19501380000001
72,CVX,Chevron Corporation,Energy,"San Ramon, California",3.8,5.03,37.7643595,-121.9539616
73,CB,Chubb Limited,Financials,"Zurich, Switzerland",3.73,5.52,47.3768866,8.541694
74,CHD,Church & Dwight,Consumer Staples,"Ewing, New Jersey",1.08,4.28,40.2599864,-74.79091249999999
75,CI,Cigna,Health Care,"Bloomfield, Connecticut",0.04,0.07,41.826488,-72.73009449999999
76,CINF,Cincinnati Financial,Financials,"Fairfield, Ohio",1.64,4.98,39.3454673,-84.5603187
77,CTAS,Cintas,Industrials,"Mason, Ohio",0.64,1.77,39.3600586,-84.309939
78,CSCO,Cisco,Information Technology,"San Jose, California",0.62,4.13,37.33874,-121.8852525
79,C,Citigroup,Financials,"New York City, New York",0.04,0.11,40.7127753,-74.0059728
80,CLX,Clorox,Consumer Staples,"Oakland, California",2.63,4.3,37.8043514,-122.2711639
81,CME,CME Group,Financials,"Chicago, Illinois",3.1,8.19,41.8781136,-87.6297982
82,CMS,CMS Energy,Utilities,"Jackson, Michigan",1.0,5.19,42.245869,-84.40134619999999
83,KO,Coca-Cola Company (The),Consumer Staples,"Atlanta, Georgia",1.1,3.89,33.748752,-84.38768449999999
84,CL,Colgate-Palmolive,Consumer Staples,"New York City, New York",2.26,5.1,40.7127753,-74.0059728
85,CMCSA,Comcast,Communication Services,"Philadelphia, Pennsylvania",0.91,5.62,39.9525839,-75.1652215
86,CMA,Comerica,Financials,"Dallas, Texas",0.66,2.52,32.7766642,-96.79698789999999
87,CAG,Conagra Brands,Consumer Staples,"Chicago, Illinois",0.75,3.82,41.8781136,-87.6297982
88,COP,ConocoPhillips,Energy,"Houston, Texas",3.33,7.88,29.7604267,-95.3698028
89,ED,Consolidated Edison,Utilities,"New York City, New York",2.45,6.27,40.7127753,-74.0059728
90,COO,CooperCompanies,Health Care,"San Ramon, California",0.06,0.05,37.7643595,-121.9539616
91,GLW,Corning Inc.,Information Technology,"Corning, New York",0.38,3.77,42.1428521,-77.05469029999999
92,COST,Costco,Consumer Staples,"Issaquah, Washington",8.17,10.04,47.5301011,-122.0326191
93,CTRA,Coterra,Energy,"Houston, Texas",0.08,0.34,29.7604267,-95.3698028
94,CSX,CSX,Industrials,"Jacksonville, Florida",0.58,9.04,30.3321838,-81.65565099999999
95,CMI,Cummins,Industrials,"Columbus, Indiana",2.12,2.47,39.2014404,-85.9213796
96,CVS,CVS Health,Health Care,"Woonsocket, Rhode Island",0.84,1.96,42.00287609999999,-71.51478390000001
97,DHI,D.R. Horton,Consumer Discretionary,"Arlington, Texas",0.22,1.28,32.735687,-97.10806559999999
98,DHR,Danaher Corporation,Health Care,"Washington, D.C.",0.1,0.22,38.9071923,-77.0368707
99,DRI,Darden Restaurants,Consumer Discretionary,"Orlando, Florida",2.05,6.27,28.5383832,-81.3789269
100,DE,John Deere,Industrials,"Moline, Illinois",1.99,2.87,41.5067003,-90.51513419999999
101,DAL,Delta Air Lines,Industrials,"Atlanta, Georgia",0.06,0.32,33.748752,-84.38768449999999
102,XRAY,Dentsply Sirona,Health Care,"Charlotte, North Carolina",0.24,0.63,35.2270869,-80.8431267
103,DVN,Devon Energy,Energy,"Oklahoma City, Oklahoma",0.84,2.09,35.4675602,-97.5164276
104,DLR,Digital Realty,Real Estate,"Austin, Texas",3.07,7.55,30.267153,-97.7430608
105,DFS,Discover Financial,Financials,"Riverwoods, Illinois",0.64,1.78,42.1675254,-87.897014
106,DIS,Disney,Communication Services,"Burbank, California",0.75,1.68,34.1808392,-118.3089661
107,D,Dominion Energy,Utilities,"Richmond, Virginia",2.22,6.09,37.5407246,-77.4360481
108,DPZ,Domino's,Consumer Discretionary,"Ann Arbor, Michigan",0.6,1.16,42.2808256,-83.7430378
109,DOV,Dover Corporation,Industrials,"Downers Grove, Illinois",1.42,3.48,41.8089191,-88.01117459999999
110,DTE,DTE Energy,Utilities,"Detroit, Michigan",2.55,6.47,42.331427,-83.0457538
111,DUK,Duke Energy,Utilities,"Charlotte, North Carolina",3.08,6.99,35.2270869,-80.8431267
112,DD,DuPont,Materials,"Wilmington, Delaware",1.76,2.2,39.744655,-75.5483909
113,EMN,Eastman Chemical Company,Materials,"Kingsport, Tennessee",1.2,2.24,36.548434,-82.5618186
114,ETN,Eaton Corporation,Industrials,"Dublin, Ireland",1.64,3.76,53.3498053,-6.2603097
115,ECL,Ecolab,Materials,"Saint Paul, Minnesota",0.92,1.28,44.9537029,-93.0899578
