,ticker,company,industry,location,dividend,dividend_prc,latitude,longitude
0,MMM,3M,Industrials,"Saint Paul, Minnesota",5.95,4.15,44.9537029,-93.0899578
1,AOS,A. O. Smith,Industrials,"Milwaukee, Wisconsin",1.12,1.74,43.0389025,-87.9064736
2,ABT,Abbott,Health Care,"North Chicago, Illinois",1.86,1.62,42.325578,-87.8411818
3,ABBV,AbbVie,Health Care,"North Chicago, Illinois",5.53,4.3,42.325578,-87.8411818
4,ACN,Accenture,Information Technology,"Dublin, Ireland",3.88,1.23,53.3498053,-6.2603097
5,ATVI,Activision Blizzard,Communication Services,"Santa Monica, California",0.47,0.6,34.0194543,-118.4911912
6,ADM,ADM,Consumer Staples,"Chicago, Illinois",1.57,2.06,41.8781136,-87.6297982
7,ADP,ADP,Industrials,"Roseland, New Jersey",4.16,1.9,40.8206555,-74.2937594
8,AAP,Advance Auto Parts,Consumer Discretionary,"Raleigh, North Carolina",5.5,3.05,35.7795897,-78.6381787
9,AES,AES Corporation,Utilities,"Arlington, Virginia",0.62,2.87,38.8816208,-77.09098089999999
10,AFL,Aflac,Financials,"Columbus, Georgia",1.53,2.62,32.4609764,-84.9877094
11,A,Agilent Technologies,Health Care,"Santa Clara, California",0.82,0.6,37.3541079,-121.9552356
12,APD,Air Products and Chemicals,Materials,"Allentown, Pennsylvania",6.36,2.58,40.6022939,-75.4714098
13,ALB,Albemarle Corporation,Materials,"Charlotte, North Carolina",1.58,0.68,35.2270869,-80.8431267
14,ARE,Alexandria Real Estate Equities,Real Estate,"Pasadena, California",4.66,2.86,34.1477849,-118.1445155
15,ALLE,Allegion,Industrials,"New York City, New York",1.59,1.51,40.7127753,-74.0059728
16,LNT,Alliant Energy,Utilities,"Madison, Wisconsin",1.68,2.97,43.0721661,-89.4007501
17,ALL,Allstate,Financials,"Glenview, Illinois",3.36,2.82,42.0778065,-87.8223368
18,MO,Altria,Consumer Staples,"Richmond, Virginia",3.64,8.59,37.5407246,-77.4360481
19,AMCR,Amcor,Materials,"Warmley, Bristol, United Kingdom",0.48,4.16,51.45952699999999,-2.474226
20,AEE,Ameren,Utilities,"St. Louis, Missouri",2.32,2.66,38.6270025,-90.19940419999999
21,AEP,American Electric Power,Utilities,"Columbus, Ohio",3.12,3.55,39.9611755,-82.99879419999999
22,AXP,American Express,Financials,"New York City, New York",1.9,1.18,40.7127753,-74.0059728
23,AIG,American International Group,Financials,"New York City, New York",1.28,2.39,40.7127753,-74.0059728
24,AMT,American Tower,Real Estate,"Boston, Massachusetts",4.22,1.71,42.3600825,-71.0588801
25,AWK,American Water Works,Utilities,"Camden, New Jersey",2.52,1.65,39.9259463,-75.1196199
26,AMP,Ameriprise Financial,Financials,"Minneapolis, Minnesota",4.76,1.7,44.977753,-93.2650108
27,ABC,AmerisourceBergen,Health Care,"Conshohocken, Pennsylvania",1.84,1.32,40.0792766,-75.3015714
28,AME,Ametek,Industrials,"Berwyn, Pennsylvania",0.86,0.68,40.045824,-75.4395931
29,AMGN,Amgen,Health Care,"Thousand Oaks, California",7.58,3.44,34.1705609,-118.8375937
30,APH,Amphenol,Information Technology,"Wallingford, Connecticut",0.8,1.12,41.4570108,-72.8230736
31,ADI,Analog Devices,Information Technology,"Wilmington, Massachusetts",2.97,1.84,42.5481714,-71.1724467
32,AON,Aon,Financials,"London, UK",2.14,0.74,51.5072178,-0.1275862
33,APA,APA Corporation,Energy,"Houston, Texas",0.44,1.34,29.7604267,-95.3698028
34,AAPL,Apple Inc.,Information Technology,"Cupertino, California",0.9,0.56,37.3229978,-122.0321823
35,AMAT,Applied Materials,Information Technology,"Santa Clara, California",1.0,0.85,37.3541079,-121.9552356
36,AJG,Arthur J. Gallagher & Co.,Financials,"Rolling Meadows, Illinois",2.01,1.22,42.0841936,-88.0131275
37,AIZ,Assurant,Financials,"New York City, New York",2.72,1.67,40.7127753,-74.0059728
38,T,AT&T,Communication Services,"Dallas, Texas",1.6,8.68,32.7766642,-96.79698789999999
39,ATO,Atmos Energy,Utilities,"Dallas, Texas",2.72,2.64,32.7766642,-96.79698789999999
40,AVB,AvalonBay Communities,Real Estate,"Arlington, Virginia",7.95,3.83,38.8816208,-77.09098089999999
41,AVY,Avery Dennison,Materials,"Glendale, California",2.86,1.61,34.1425078,-118.255075
42,BKR,Baker Hughes,Energy,"Houston, Texas",0.72,2.69,29.7604267,-95.3698028
43,BALL,Ball Corporation,Materials,"Broomfield, Colorado",0.8,1.09,39.9205411,-105.0866504
44,BAC,Bank of America,Financials,"Charlotte, North Carolina",0.85,2.26,35.2270869,-80.8431267
45,BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,"Columbus, Ohio",0.75,1.62,39.9611755,-82.99879419999999
46,BAX,Baxter International,Health Care,"Deerfield, Illinois",1.14,1.64,42.1711365,-87.8445119
47,BDX,Becton Dickinson,Health Care,"Franklin Lakes, New Jersey",3.48,1.4,41.0167639,-74.2057011
48,WRB,Berkley,Financials,"Greenwich, Connecticut",1.96,3.48,41.0262417,-73.6281964
49,BBY,Best Buy,Consumer Discretionary,"Richfield, Minnesota",3.34,4.27,44.8832982,-93.28300209999999
50,TECH,Bio-Techne,Health Care,"Minneapolis, Minnesota",1.28,1.25,44.977753,-93.2650108
51,BLK,BlackRock,Financials,"New York City, New York",18.77,2.71,40.7127753,-74.0059728
52,BK,BNY Mellon,Financials,"New York City, New York",1.39,2.95,40.7127753,-74.0059728
