,ticker,company,industry,location,dividend,dividend_prc,latitude,longitude
0,MMM,3M,Industrials,"Saint Paul, Minnesota",1.8,3.89,44.9537029,-93.0899578
1,AOS,A. O. Smith,Industrials,"Milwaukee, Wisconsin",0.65,12.88,43.0389025,-87.9064736
2,ABT,Abbott,Health Care,"North Chicago, Illinois",0.84,6.16,42.325578,-87.8411818
3,ACN,Accenture,Information Technology,"Dublin, Ireland",0.3,1.66,53.3498053,-6.2603097
4,ADM,ADM,Consumer Staples,"Chicago, Illinois",0.38,1.75,41.8781136,-87.6297982
5,ADP,ADP,Industrials,"Roseland, New Jersey",0.74,3.07,40.8206555,-74.2937594
6,AAP,Advance Auto Parts,Consumer Discretionary,"Raleigh, North Carolina",0.18,0.55,35.7795897,-78.6381787
7,AFL,Aflac,Financials,"Columbus, Georgia",0.5,3.22,32.4609764,-84.9877094
8,APD,Air Products and Chemicals,Materials,"Allentown, Pennsylvania",1.34,3.18,40.6022939,-75.4714098
9,ALB,Albemarle Corporation,Materials,"Charlotte, North Carolina",0.67,3.88,35.2270869,-80.8431267
10,ARE,Alexandria Real Estate Equities,Real Estate,"Pasadena, California",2.82,5.4,34.1477849,-118.1445155
11,LNT,Alliant Energy,Utilities,"Madison, Wisconsin",1.13,13.96,43.0721661,-89.4007501
12,ALL,Allstate,Financials,"Glenview, Illinois",1.37,3.74,42.0778065,-87.8223368
13,MO,Altria,Consumer Staples,"Richmond, Virginia",3.26,50.75,37.5407246,-77.4360481
14,AEE,Ameren,Utilities,"St. Louis, Missouri",2.54,10.25,38.6270025,-90.19940419999999
15,AEP,American Electric Power,Utilities,"Columbus, Ohio",1.48,8.28,39.9611755,-82.99879419999999
16,AXP,American Express,Financials,"New York City, New York",7.67,19.87,40.7127753,-74.0059728
17,AIG,American International Group,Financials,"New York City, New York",0.62,0.07,40.7127753,-74.0059728
18,AMP,Ameriprise Financial,Financials,"Minneapolis, Minnesota",0.44,1.49,44.977753,-93.2650108
19,ABC,AmerisourceBergen,Health Care,"Conshohocken, Pennsylvania",0.12,0.77,40.0792766,-75.3015714
20,AME,Ametek,Industrials,"Berwyn, Pennsylvania",0.24,2.08,40.045824,-75.4395931
21,APH,Amphenol,Information Technology,"Wallingford, Connecticut",0.12,2.16,41.4570108,-72.8230736
22,ADI,Analog Devices,Information Technology,"Wilmington, Massachusetts",0.56,2.55,42.5481714,-71.1724467
23,AON,Aon,Financials,"London, UK",0.6,2.03,51.5072178,-0.1275862
24,APA,APA Corporation,Energy,"Houston, Texas",0.4,0.75,29.7604267,-95.3698028
25,AMAT,Applied Materials,Information Technology,"Santa Clara, California",0.16,1.23,37.3541079,-121.9552356
26,AJG,Arthur J. Gallagher & Co.,Financials,"Rolling Meadows, Illinois",1.18,7.5,42.0841936,-88.0131275
27,AIZ,Assurant,Financials,"New York City, New York",0.36,1.06,40.7127753,-74.0059728
28,T,AT&T,Communication Services,"Dallas, Texas",1.24,16.92,32.7766642,-96.79698789999999
29,ATO,Atmos Energy,Utilities,"Dallas, Texas",1.26,8.28,32.7766642,-96.79698789999999
