,ticker,company,industry,location,dividend,dividend_prc,latitude,longitude
0,MMM,3M,Industrials,"Saint Paul, Minnesota",1.62,3.46,44.9537029,-93.0899578
1,AOS,A. O. Smith,Industrials,"Milwaukee, Wisconsin",0.64,18.79,43.0389025,-87.9064736
2,ABT,Abbott,Health Care,"North Chicago, Illinois",1.07,7.41,42.325578,-87.8411818
3,ADM,ADM,Consumer Staples,"Chicago, Illinois",0.33,2.37,41.8781136,-87.6297982
4,ADBE,Adobe Inc.,Information Technology,"San Jose, California",0.02,0.08,37.33874,-121.8852525
5,ADP,ADP,Industrials,"Roseland, New Jersey",0.62,2.79,40.8206555,-74.2937594
6,AFL,Aflac,Financials,"Columbus, Georgia",0.42,3.24,32.4609764,-84.9877094
7,APD,Air Products and Chemicals,Materials,"Allentown, Pennsylvania",1.25,3.3,40.6022939,-75.4714098
8,ALB,Albemarle Corporation,Materials,"Charlotte, North Carolina",0.61,4.28,35.2270869,-80.8431267
9,ARE,Alexandria Real Estate Equities,Real Estate,"Pasadena, California",2.68,6.49,34.1477849,-118.1445155
10,LNT,Alliant Energy,Utilities,"Madison, Wisconsin",1.05,14.88,43.0721661,-89.4007501
11,ALL,Allstate,Financials,"Glenview, Illinois",1.24,3.51,42.0778065,-87.8223368
12,MO,Altria,Consumer Staples,"Richmond, Virginia",2.99,55.26,37.5407246,-77.4360481
13,AEE,Ameren,Utilities,"St. Louis, Missouri",2.54,10.52,38.6270025,-90.19940419999999
14,AEP,American Electric Power,Utilities,"Columbus, Ohio",1.4,8.21,39.9611755,-82.99879419999999
15,AXP,American Express,Financials,"New York City, New York",0.48,1.36,40.7127753,-74.0059728
16,AIG,American International Group,Financials,"New York City, New York",0.48,0.06,40.7127753,-74.0059728
17,ABC,AmerisourceBergen,Health Care,"Conshohocken, Pennsylvania",0.1,0.81,40.0792766,-75.3015714
18,AME,Ametek,Industrials,"Berwyn, Pennsylvania",0.24,2.41,40.045824,-75.4395931
19,APH,Amphenol,Information Technology,"Wallingford, Connecticut",0.09,1.97,41.4570108,-72.8230736
20,ADI,Analog Devices,Information Technology,"Wilmington, Massachusetts",0.32,1.35,42.5481714,-71.1724467
21,AON,Aon,Financials,"London, UK",0.6,3.38,51.5072178,-0.1275862
22,APA,APA Corporation,Energy,"Houston, Texas",0.32,0.72,29.7604267,-95.3698028
23,AMAT,Applied Materials,Information Technology,"Santa Clara, California",0.06,0.48,37.3541079,-121.9552356
24,AJG,Arthur J. Gallagher & Co.,Financials,"Rolling Meadows, Illinois",1.09,6.86,42.0841936,-88.0131275
25,AIZ,Assurant,Financials,"New York City, New York",0.3,1.25,40.7127753,-74.0059728
26,T,AT&T,Communication Services,"Dallas, Texas",1.67,25.05,32.7766642,-96.79698789999999
27,ATO,Atmos Energy,Utilities,"Dallas, Texas",1.24,8.39,32.7766642,-96.79698789999999
28,ADSK,Autodesk,Information Technology,"San Francisco, California",0.03,0.09,37.7749295,-122.4194155
29,AVB,AvalonBay Communities,Real Estate,"Arlington, Virginia",2.83,7.14,38.8816208,-77.09098089999999
30,AVY,Avery Dennison,Materials,"Glendale, California",1.52,4.3,34.1425078,-118.255075
31,BALL,Ball Corporation,Materials,"Broomfield, Colorado",0.4,4.63,39.9205411,-105.0866504
32,BAC,Bank of America,Financials,"Charlotte, North Carolina",1.85,6.32,35.2270869,-80.8431267
33,BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,"Columbus, Ohio",1.8,24.52,39.9611755,-82.99879419999999
34,BAX,Baxter International,Health Care,"Deerfield, Illinois",0.58,4.59,42.1711365,-87.8445119
35,BDX,Becton Dickinson,Health Care,"Franklin Lakes, New Jersey",0.72,1.76,41.0167639,-74.2057011
36,WRB,Berkley,Financials,"Greenwich, Connecticut",0.17,2.29,41.0262417,-73.6281964
