,ticker,company,industry,location,dividend,dividend_prc,latitude,longitude
0,MMM,3M,Industrials,"Saint Paul, Minnesota",2.18,3.57,44.9537029,-93.0899578
1,AOS,A. O. Smith,Industrials,"Milwaukee, Wisconsin",0.65,7.61,43.0389025,-87.9064736
2,ABT,Abbott,Health Care,"North Chicago, Illinois",1.84,9.73,42.325578,-87.8411818
3,ACN,Accenture,Information Technology,"Dublin, Ireland",0.9,2.26,53.3498053,-6.2603097
4,ATVI,Activision Blizzard,Communication Services,"Santa Monica, California",0.16,1.68,34.0194543,-118.4911912
5,ADM,ADM,Consumer Staples,"Chicago, Illinois",0.63,2.79,41.8781136,-87.6297982
6,ADP,ADP,Industrials,"Roseland, New Jersey",1.44,4.38,40.8206555,-74.2937594
7,AAP,Advance Auto Parts,Consumer Discretionary,"Raleigh, North Carolina",0.24,0.42,35.7795897,-78.6381787
8,AFL,Aflac,Financials,"Columbus, Georgia",1.2,6.55,32.4609764,-84.9877094
9,APD,Air Products and Chemicals,Materials,"Allentown, Pennsylvania",2.23,3.42,40.6022939,-75.4714098
10,ALB,Albemarle Corporation,Materials,"Charlotte, North Carolina",0.64,1.39,35.2270869,-80.8431267
11,ARE,Alexandria Real Estate Equities,Real Estate,"Pasadena, California",1.82,3.74,34.1477849,-118.1445155
12,LNT,Alliant Energy,Utilities,"Madison, Wisconsin",1.67,13.2,43.0721661,-89.4007501
13,ALL,Allstate,Financials,"Glenview, Illinois",0.83,3.66,42.0778065,-87.8223368
14,MO,Altria,Consumer Staples,"Richmond, Virginia",1.55,12.13,37.5407246,-77.4360481
15,AEE,Ameren,Utilities,"St. Louis, Missouri",1.54,8.36,38.6270025,-90.19940419999999
16,AEP,American Electric Power,Utilities,"Columbus, Ohio",1.84,8.19,39.9611755,-82.99879419999999
17,AXP,American Express,Financials,"New York City, New York",0.72,1.93,40.7127753,-74.0059728
18,AIG,American International Group,Financials,"New York City, New York",8.28,23.91,40.7127753,-74.0059728
19,AWK,American Water Works,Utilities,"Camden, New Jersey",0.89,4.36,39.9259463,-75.1196199
20,AMP,Ameriprise Financial,Financials,"Minneapolis, Minnesota",0.82,1.94,44.977753,-93.2650108
21,ABC,AmerisourceBergen,Health Care,"Conshohocken, Pennsylvania",0.43,1.42,40.0792766,-75.3015714
22,AME,Ametek,Industrials,"Berwyn, Pennsylvania",0.27,1.1,40.045824,-75.4395931
23,AMGN,Amgen,Health Care,"Thousand Oaks, California",0.28,0.74,34.1705609,-118.8375937
24,APH,Amphenol,Information Technology,"Wallingford, Connecticut",0.06,0.53,41.4570108,-72.8230736
25,ADI,Analog Devices,Information Technology,"Wilmington, Massachusetts",0.94,3.4,42.5481714,-71.1724467
26,AON,Aon,Financials,"London, UK",0.6,1.46,51.5072178,-0.1275862
27,APA,APA Corporation,Energy,"Houston, Texas",0.6,0.62,29.7604267,-95.3698028
28,AMAT,Applied Materials,Information Technology,"Santa Clara, California",0.3,2.81,37.3541079,-121.9552356
29,AJG,Arthur J. Gallagher & Co.,Financials,"Rolling Meadows, Illinois",1.31,6.31,42.0841936,-88.0131275
30,AIZ,Assurant,Financials,"New York City, New York",0.68,2.39,40.7127753,-74.0059728
31,T,AT&T,Communication Services,"Dallas, Texas",1.71,15.52,32.7766642,-96.79698789999999
32,ATO,Atmos Energy,Utilities,"Dallas, Texas",1.36,5.92,32.7766642,-96.79698789999999
33,AVB,AvalonBay Communities,Real Estate,"Arlington, Virginia",3.57,4.43,38.8816208,-77.09098089999999
34,AVY,Avery Dennison,Materials,"Glendale, California",0.95,3.5,34.1425078,-118.255075
35,BALL,Ball Corporation,Materials,"Broomfield, Colorado",0.31,1.96,39.9205411,-105.0866504
36,BAC,Bank of America,Financials,"Charlotte, North Carolina",0.04,0.45,35.2270869,-80.8431267
37,BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,"Columbus, Ohio",4.75,31.84,39.9611755,-82.99879419999999
38,BAX,Baxter International,Health Care,"Deerfield, Illinois",1.24,5.23,42.1711365,-87.8445119
39,BDX,Becton Dickinson,Health Care,"Franklin Lakes, New Jersey",1.64,2.52,41.0167639,-74.2057011
40,WRB,Berkley,Financials,"Greenwich, Connecticut",0.3,2.9,41.0262417,-73.6281964
41,BBY,Best Buy,Consumer Discretionary,"Richfield, Minnesota",0.76,3.62,44.8832982,-93.28300209999999
42,TECH,Bio-Techne,Health Care,"Minneapolis, Minnesota",1.08,7.13,44.977753,-93.2650108
43,BLK,BlackRock,Financials,"New York City, New York",5.12,3.88,40.7127753,-74.0059728
44,BK,BNY Mellon,Financials,"New York City, New York",0.44,2.14,40.7127753,-74.0059728
45,BA,Boeing,Industrials,"Chicago, Illinois",1.68,3.04,41.8781136,-87.6297982
46,BXP,Boston Properties,Real Estate,"Boston, Massachusetts",2.0,3.3,42.3600825,-71.0588801
47,BMY,Bristol Myers Squibb,Health Care,"New York City, New York",0.99,5.35,40.7127753,-74.0059728
48,AVGO,Broadcom Inc.,Information Technology,"San Jose, California",0.35,1.48,37.33874,-121.8852525
49,BR,Broadridge Financial Solutions,Industrials,"Lake Success, New York",0.61,3.67,40.7698453,-73.70904279999999
50,BRO,Brown & Brown,Financials,"Daytona Beach, Florida",0.32,3.29,29.2108147,-81.0228331
51,BG,Bunge Limited,Consumer Staples,"Chesterfield, Missouri",0.94,1.93,38.6631083,-90.5770675
52,CHRW,C.H. Robinson,Industrials,"Eden Prairie, Minnesota",1.16,2.05,44.8546856,-93.47078599999999
53,CPT,Camden Property Trust,Real Estate,"Houston, Texas",1.92,5.44,29.7604267,-95.3698028
54,CPB,Campbell Soup Company,Consumer Staples,"Camden, New Jersey",1.14,4.84,39.9259463,-75.1196199
55,COF,Capital One,Financials,"Tysons Corner, Virginia",0.2,0.53,38.9187222,-77.2310925
56,CAH,Cardinal Health,Health Care,"Dublin, Ohio",0.82,2.74,40.0992294,-83.1140771
57,CCL,Carnival,Consumer Discretionary,"Miami, Florida",0.85,2.87,25.7616798,-80.1917902
58,CAT,Caterpillar Inc.,Industrials,"Irving, Texas",1.78,2.57,32.8140177,-96.9488945
59,CBOE,Cboe Global Markets,Financials,"Chicago, Illinois",0.42,2.04,41.8781136,-87.6297982
