,ticker,company,industry,location,dividend,dividend_prc,latitude,longitude
0,MMM,3M,Industrials,"Saint Paul, Minnesota",2.46,7.17,44.9537029,-93.0899578
1,AOS,A. O. Smith,Industrials,"Milwaukee, Wisconsin",0.53,19.89,43.0389025,-87.9064736
2,ABT,Abbott,Health Care,"North Chicago, Illinois",0.89,7.65,42.325578,-87.8411818
3,ADM,ADM,Consumer Staples,"Chicago, Illinois",0.21,2.56,41.8781136,-87.6297982
4,ADBE,Adobe Inc.,Information Technology,"San Jose, California",0.05,0.37,37.33874,-121.8852525
5,ADP,ADP,Industrials,"Roseland, New Jersey",0.46,1.9,40.8206555,-74.2937594
6,AFL,Aflac,Financials,"Columbus, Georgia",0.22,2.51,32.4609764,-84.9877094
7,APD,Air Products and Chemicals,Materials,"Allentown, Pennsylvania",0.82,2.85,40.6022939,-75.4714098
8,ALB,Albemarle Corporation,Materials,"Charlotte, North Carolina",0.53,5.34,35.2270869,-80.8431267
9,ARE,Alexandria Real Estate Equities,Real Estate,"Pasadena, California",1.92,9.11,34.1477849,-118.1445155
10,LNT,Alliant Energy,Utilities,"Madison, Wisconsin",2.0,36.07,43.0721661,-89.4007501
11,ALL,Allstate,Financials,"Glenview, Illinois",0.82,3.86,42.0778065,-87.8223368
12,MO,Altria,Consumer Staples,"Richmond, Virginia",2.38,72.61,37.5407246,-77.4360481
13,AEE,Ameren,Utilities,"St. Louis, Missouri",2.54,15.57,38.6270025,-90.19940419999999
14,AEP,American Electric Power,Utilities,"Columbus, Ohio",2.4,14.84,39.9611755,-82.99879419999999
15,AXP,American Express,Financials,"New York City, New York",0.32,1.41,40.7127753,-74.0059728
16,AIG,American International Group,Financials,"New York City, New York",0.17,0.02,40.7127753,-74.0059728
17,ABC,AmerisourceBergen,Health Care,"Conshohocken, Pennsylvania",0.1,0.8,40.0792766,-75.3015714
18,AME,Ametek,Industrials,"Berwyn, Pennsylvania",0.24,5.41,40.045824,-75.4395931
19,AON,Aon,Financials,"London, UK",0.9,3.86,51.5072178,-0.1275862
20,APA,APA Corporation,Energy,"Houston, Texas",0.74,4.52,29.7604267,-95.3698028
21,AJG,Arthur J. Gallagher & Co.,Financials,"Rolling Meadows, Illinois",0.58,3.72,42.0841936,-88.0131275
22,T,AT&T,Communication Services,"Dallas, Texas",1.2,15.48,32.7766642,-96.79698789999999
23,ATO,Atmos Energy,Utilities,"Dallas, Texas",1.18,11.58,32.7766642,-96.79698789999999
24,ADSK,Autodesk,Information Technology,"San Francisco, California",0.21,2.4,37.7749295,-122.4194155
25,AVB,AvalonBay Communities,Real Estate,"Arlington, Virginia",2.74,13.34,38.8816208,-77.09098089999999
26,AVY,Avery Dennison,Materials,"Glendale, California",1.32,3.7,34.1425078,-118.255075
27,BALL,Ball Corporation,Materials,"Broomfield, Colorado",0.42,10.17,39.9205411,-105.0866504
28,BAC,Bank of America,Financials,"Charlotte, North Carolina",2.4,12.63,35.2270869,-80.8431267
29,BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,"Columbus, Ohio",0.22,4.31,39.9611755,-82.99879419999999
30,BAX,Baxter International,Health Care,"Deerfield, Illinois",0.58,3.08,42.1711365,-87.8445119
31,BDX,Becton Dickinson,Health Care,"Franklin Lakes, New Jersey",0.39,1.66,41.0167639,-74.2057011
32,WRB,Berkley,Financials,"Greenwich, Connecticut",0.48,13.87,41.0262417,-73.6281964
33,BK,BNY Mellon,Financials,"New York City, New York",1.18,5.29,40.7127753,-74.0059728
34,BA,Boeing,Industrials,"Chicago, Illinois",0.68,2.65,41.8781136,-87.6297982
35,BWA,BorgWarner,Consumer Discretionary,"Auburn Hills, Michigan",0.6,13.01,42.6875323,-83.2341028
36,BXP,Boston Properties,Real Estate,"Boston, Massachusetts",2.38,15.45,42.3600825,-71.0588801
37,BMY,Bristol Myers Squibb,Health Care,"New York City, New York",1.12,6.54,40.7127753,-74.0059728
38,BRO,Brown & Brown,Financials,"Daytona Beach, Florida",0.24,3.89,29.2108147,-81.0228331
39,BG,Bunge Limited,Consumer Staples,"Chesterfield, Missouri",0.38,2.92,38.6631083,-90.5770675
40,CHRW,C.H. Robinson,Industrials,"Eden Prairie, Minnesota",0.24,2.41,44.8546856,-93.47078599999999
41,CPT,Camden Property Trust,Real Estate,"Houston, Texas",3.16,22.77,29.7604267,-95.3698028
42,CPB,Campbell Soup Company,Consumer Staples,"Camden, New Jersey",0.63,4.12,39.9259463,-75.1196199
43,COF,Capital One,Financials,"Tysons Corner, Virginia",0.11,0.35,38.9187222,-77.2310925
44,CAH,Cardinal Health,Health Care,"Dublin, Ohio",0.1,0.33,40.0992294,-83.1140771
45,CCL,Carnival,Consumer Discretionary,"Miami, Florida",0.42,2.51,25.7616798,-80.1917902
46,CAT,Caterpillar Inc.,Industrials,"Irving, Texas",1.4,10.1,32.8140177,-96.9488945
47,CNP,CenterPoint Energy,Utilities,"Houston, Texas",1.28,17.07,29.7604267,-95.3698028
48,SCHW,Charles Schwab Corporation,Financials,"Westlake, Texas",0.04,0.54,32.991235,-97.19501380000001
49,CVX,Chevron Corporation,Energy,"San Ramon, California",2.8,14.75,37.7643595,-121.9539616
50,CB,Chubb Limited,Financials,"Zurich, Switzerland",2.03,12.24,47.3768866,8.541694
51,CHD,Church & Dwight,Consumer Staples,"Ewing, New Jersey",0.3,7.83,40.2599864,-74.79091249999999
52,CI,Cigna,Health Care,"Bloomfield, Connecticut",1.31,4.79,41.826488,-72.73009449999999
53,CINF,Cincinnati Financial,Financials,"Fairfield, Ohio",0.88,4.59,39.3454673,-84.5603187
54,CTAS,Cintas,Industrials,"Mason, Ohio",0.25,0.68,39.3600586,-84.309939
55,C,Citigroup,Financials,"New York City, New York",3.09,1.4,40.7127753,-74.0059728
56,CLX,Clorox,Consumer Staples,"Oakland, California",0.85,3.85,37.8043514,-122.2711639
57,CMS,CMS Energy,Utilities,"Jackson, Michigan",1.27,12.63,42.245869,-84.40134619999999
58,KO,Coca-Cola Company (The),Consumer Staples,"Atlanta, Georgia",0.78,5.75,33.748752,-84.38768449999999
59,CL,Colgate-Palmolive,Consumer Staples,"New York City, New York",0.72,4.24,40.7127753,-74.0059728
60,CMA,Comerica,Financials,"Dallas, Texas",1.88,6.3,32.7766642,-96.79698789999999
61,CAG,Conagra Brands,Consumer Staples,"Chicago, Illinois",0.94,10.26,41.8781136,-87.6297982
62,COP,ConocoPhillips,Energy,"Houston, Texas",1.44,13.69,29.7604267,-95.3698028
63,ED,Consolidated Edison,Utilities,"New York City, New York",2.22,14.45,40.7127753,-74.0059728
64,COO,CooperCompanies,Health Care,"San Ramon, California",0.1,0.41,37.7643595,-121.9539616
