,ticker,company,industry,location,dividend,dividend_prc,latitude,longitude
0,MMM,3M,Industrials,"Saint Paul, Minnesota",5.85,4.26,44.9537029,-93.0899578
1,AOS,A. O. Smith,Industrials,"Milwaukee, Wisconsin",0.96,2.21,43.0389025,-87.9064736
2,ABT,Abbott,Health Care,"North Chicago, Illinois",1.4,1.7,42.325578,-87.8411818
3,ABBV,AbbVie,Health Care,"North Chicago, Illinois",4.61,6.29,42.325578,-87.8411818
4,ACN,Accenture,Information Technology,"Dublin, Ireland",3.2,1.73,53.3498053,-6.2603097
5,ATVI,Activision Blizzard,Communication Services,"Santa Monica, California",0.41,0.66,34.0194543,-118.4911912
6,ADM,ADM,Consumer Staples,"Chicago, Illinois",1.43,3.75,41.8781136,-87.6297982
7,ADP,ADP,Industrials,"Roseland, New Jersey",3.64,2.74,40.8206555,-74.2937594
8,AAP,Advance Auto Parts,Consumer Discretionary,"Raleigh, North Carolina",1.06,0.91,35.7795897,-78.6381787
9,AES,AES Corporation,Utilities,"Arlington, Virginia",0.57,3.88,38.8816208,-77.09098089999999
10,AFL,Aflac,Financials,"Columbus, Georgia",1.11,2.84,32.4609764,-84.9877094
11,A,Agilent Technologies,Health Care,"Santa Clara, California",0.54,0.68,37.3541079,-121.9552356
12,APD,Air Products and Chemicals,Materials,"Allentown, Pennsylvania",5.18,2.33,40.6022939,-75.4714098
13,ALK,Alaska Air Group,Industrials,"SeaTac, Washington",0.72,1.07,47.4435903,-122.2960726
14,ALB,Albemarle Corporation,Materials,"Charlotte, North Carolina",1.52,2.09,35.2270869,-80.8431267
15,ARE,Alexandria Real Estate Equities,Real Estate,"Pasadena, California",4.18,2.93,34.1477849,-118.1445155
16,ALLE,Allegion,Industrials,"New York City, New York",1.23,1.23,40.7127753,-74.0059728
17,LNT,Alliant Energy,Utilities,"Madison, Wisconsin",1.5,3.08,43.0721661,-89.4007501
18,ALL,Allstate,Financials,"Glenview, Illinois",2.12,2.26,42.0778065,-87.8223368
19,MO,Altria,Consumer Staples,"Richmond, Virginia",3.38,10.75,37.5407246,-77.4360481
20,AMCR,Amcor,Materials,"Warmley, Bristol, United Kingdom",0.46,5.13,51.45952699999999,-2.474226
21,AEE,Ameren,Utilities,"St. Louis, Missouri",1.98,2.78,38.6270025,-90.19940419999999
22,AAL,American Airlines Group,Industrials,"Fort Worth, Texas",0.2,0.67,32.7554883,-97.3307658
