,ticker,company,industry,location,dividend,dividend_prc,latitude,longitude
0,MMM,3M,Industrials,"Saint Paul, Minnesota",2.6,6.98,44.9537029,-93.0899578
1,AOS,A. O. Smith,Industrials,"Milwaukee, Wisconsin",0.66,20.47,43.0389025,-87.9064736
2,ABT,Abbott,Health Care,"North Chicago, Illinois",0.96,8.98,42.325578,-87.8411818
3,ADM,ADM,Consumer Staples,"Chicago, Illinois",0.24,3.04,41.8781136,-87.6297982
4,ADBE,Adobe Inc.,Information Technology,"San Jose, California",0.05,0.3,37.33874,-121.8852525
5,ADP,ADP,Industrials,"Roseland, New Jersey",0.48,2.7,40.8206555,-74.2937594
6,AFL,Aflac,Financials,"Columbus, Georgia",0.28,2.72,32.4609764,-84.9877094
7,APD,Air Products and Chemicals,Materials,"Allentown, Pennsylvania",0.88,3.33,40.6022939,-75.4714098
8,ALB,Albemarle Corporation,Materials,"Charlotte, North Carolina",0.56,5.67,35.2270869,-80.8431267
9,ARE,Alexandria Real Estate Equities,Real Estate,"Pasadena, California",2.62,11.57,34.1477849,-118.1445155
10,LNT,Alliant Energy,Utilities,"Madison, Wisconsin",1.25,30.99,43.0721661,-89.4007501
11,ALL,Allstate,Financials,"Glenview, Illinois",1.16,5.35,42.0778065,-87.8223368
12,MO,Altria,Consumer Staples,"Richmond, Virginia",2.6,88.28,37.5407246,-77.4360481
13,AEE,Ameren,Utilities,"St. Louis, Missouri",2.54,14.72,38.6270025,-90.19940419999999
14,AEP,American Electric Power,Utilities,"Columbus, Ohio",1.9,17.06,39.9611755,-82.99879419999999
15,AXP,American Express,Financials,"New York City, New York",0.34,1.46,40.7127753,-74.0059728
16,AIG,American International Group,Financials,"New York City, New York",0.21,0.03,40.7127753,-74.0059728
17,ABC,AmerisourceBergen,Health Care,"Conshohocken, Pennsylvania",0.1,0.87,40.0792766,-75.3015714
18,AME,Ametek,Industrials,"Berwyn, Pennsylvania",0.24,4.93,40.045824,-75.4395931
19,AON,Aon,Financials,"London, UK",0.6,3.89,51.5072178,-0.1275862
20,APA,APA Corporation,Energy,"Houston, Texas",0.4,1.74,29.7604267,-95.3698028
21,AJG,Arthur J. Gallagher & Co.,Financials,"Rolling Meadows, Illinois",0.69,4.89,42.0841936,-88.0131275
22,T,AT&T,Communication Services,"Dallas, Texas",2.06,38.2,32.7766642,-96.79698789999999
23,ATO,Atmos Energy,Utilities,"Dallas, Texas",1.2,10.59,32.7766642,-96.79698789999999
24,ADSK,Autodesk,Information Technology,"San Francisco, California",0.12,1.64,37.7749295,-122.4194155
25,AVB,AvalonBay Communities,Real Estate,"Arlington, Virginia",2.8,14.44,38.8816208,-77.09098089999999
