,ticker,company,industry,location,dividend,dividend_prc,latitude,longitude
0,MMM,3M,Industrials,"Saint Paul, Minnesota",5.26,2.94,44.9537029,-93.0899578
1,AOS,A. O. Smith,Industrials,"Milwaukee, Wisconsin",0.68,1.22,43.0389025,-87.9064736
2,ABT,Abbott,Health Care,"North Chicago, Illinois",1.1,2.06,42.325578,-87.8411818
3,ABBV,AbbVie,Health Care,"North Chicago, Illinois",3.27,4.43,42.325578,-87.8411818
4,ACN,Accenture,Information Technology,"Dublin, Ireland",2.66,2.02,53.3498053,-6.2603097
5,ATVI,Activision Blizzard,Communication Services,"Santa Monica, California",0.34,0.53,34.0194543,-118.4911912
6,ADM,ADM,Consumer Staples,"Chicago, Illinois",1.32,3.5,41.8781136,-87.6297982
7,ADP,ADP,Industrials,"Roseland, New Jersey",2.64,2.3,40.8206555,-74.2937594
8,AAP,Advance Auto Parts,Consumer Discretionary,"Raleigh, North Carolina",0.24,0.21,35.7795897,-78.6381787
9,AES,AES Corporation,Utilities,"Arlington, Virginia",0.51,5.04,38.8816208,-77.09098089999999
10,AFL,Aflac,Financials,"Columbus, Georgia",1.49,3.82,32.4609764,-84.9877094
11,A,Agilent Technologies,Health Care,"Santa Clara, California",0.58,0.94,37.3541079,-121.9552356
12,APD,Air Products and Chemicals,Materials,"Allentown, Pennsylvania",5.2,3.68,40.6022939,-75.4714098
13,ALK,Alaska Air Group,Industrials,"SeaTac, Washington",1.26,2.06,47.4435903,-122.2960726
14,ALB,Albemarle Corporation,Materials,"Charlotte, North Carolina",1.32,1.36,35.2270869,-80.8431267
15,ARE,Alexandria Real Estate Equities,Real Estate,"Pasadena, California",3.66,3.37,34.1477849,-118.1445155
16,ALLE,Allegion,Industrials,"New York City, New York",0.79,1.0,40.7127753,-74.0059728
17,LNT,Alliant Energy,Utilities,"Madison, Wisconsin",1.32,3.7,43.0721661,-89.4007501
18,ALL,Allstate,Financials,"Glenview, Illinois",1.75,2.05,42.0778065,-87.8223368
19,MO,Altria,Consumer Staples,"Richmond, Virginia",2.86,6.65,37.5407246,-77.4360481
20,AEE,Ameren,Utilities,"St. Louis, Missouri",1.83,3.57,38.6270025,-90.19940419999999
21,AAL,American Airlines Group,Industrials,"Fort Worth, Texas",0.4,0.94,32.7554883,-97.3307658
22,AEP,American Electric Power,Utilities,"Columbus, Ohio",2.48,4.34,39.9611755,-82.99879419999999
23,AXP,American Express,Financials,"New York City, New York",1.4,1.57,40.7127753,-74.0059728
24,AIG,American International Group,Financials,"New York City, New York",1.28,2.66,40.7127753,-74.0059728
25,AMT,American Tower,Real Estate,"Boston, Massachusetts",3.01,2.4,42.3600825,-71.0588801
26,AWK,American Water Works,Utilities,"Camden, New Jersey",1.74,2.25,39.9259463,-75.1196199
27,AMP,Ameriprise Financial,Financials,"Minneapolis, Minnesota",3.46,2.64,44.977753,-93.2650108
28,ABC,AmerisourceBergen,Health Care,"Conshohocken, Pennsylvania",1.52,1.9,40.0792766,-75.3015714
29,AME,Ametek,Industrials,"Berwyn, Pennsylvania",0.51,0.69,40.045824,-75.4395931
30,AMGN,Amgen,Health Care,"Thousand Oaks, California",5.11,3.31,34.1705609,-118.8375937
31,APH,Amphenol,Information Technology,"Wallingford, Connecticut",0.84,1.92,41.4570108,-72.8230736
32,ADI,Analog Devices,Information Technology,"Wilmington, Massachusetts",1.89,2.21,42.5481714,-71.1724467
33,AON,Aon,Financials,"London, UK",1.92,1.41,51.5072178,-0.1275862
34,APA,APA Corporation,Energy,"Houston, Texas",1.0,2.57,29.7604267,-95.3698028
35,AAPL,Apple Inc.,Information Technology,"Cupertino, California",2.72,6.31,37.3229978,-122.0321823
36,AMAT,Applied Materials,Information Technology,"Santa Clara, California",0.6,1.29,37.3541079,-121.9552356
37,APTV,Aptiv,Consumer Discretionary,"Dublin, Ireland",19.29,22.2,53.3498053,-6.2603097
38,AJG,Arthur J. Gallagher & Co.,Financials,"Rolling Meadows, Illinois",1.62,2.57,42.0841936,-88.0131275
39,AIZ,Assurant,Financials,"New York City, New York",2.24,2.57,40.7127753,-74.0059728
40,T,AT&T,Communication Services,"Dallas, Texas",1.99,10.45,32.7766642,-96.79698789999999
41,ATO,Atmos Energy,Utilities,"Dallas, Texas",1.94,2.52,32.7766642,-96.79698789999999
42,AVB,AvalonBay Communities,Real Estate,"Arlington, Virginia",5.83,4.01,38.8816208,-77.09098089999999
43,AVY,Avery Dennison,Materials,"Glendale, California",1.94,1.94,34.1425078,-118.255075
44,BKR,Baker Hughes,Energy,"Houston, Texas",0.72,2.57,29.7604267,-95.3698028
45,BALL,Ball Corporation,Materials,"Broomfield, Colorado",0.4,1.06,39.9205411,-105.0866504
46,BAC,Bank of America,Financials,"Charlotte, North Carolina",0.51,1.92,35.2270869,-80.8431267
47,BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,"Columbus, Ohio",2.4,9.11,39.9611755,-82.99879419999999
48,BAX,Baxter International,Health Care,"Deerfield, Illinois",0.7,1.09,42.1711365,-87.8445119
49,BDX,Becton Dickinson,Health Care,"Franklin Lakes, New Jersey",3.0,1.43,41.0167639,-74.2057011
50,WRB,Berkley,Financials,"Greenwich, Connecticut",2.08,6.94,41.0262417,-73.6281964
51,BBY,Best Buy,Consumer Discretionary,"Richfield, Minnesota",1.69,2.85,44.8832982,-93.28300209999999
52,TECH,Bio-Techne,Health Care,"Minneapolis, Minnesota",1.28,3.58,44.977753,-93.2650108
53,BLK,BlackRock,Financials,"New York City, New York",11.39,2.52,40.7127753,-74.0059728
54,BK,BNY Mellon,Financials,"New York City, New York",1.0,2.15,40.7127753,-74.0059728
55,BA,Boeing,Industrials,"Chicago, Illinois",6.55,2.14,41.8781136,-87.6297982
56,BWA,BorgWarner,Consumer Discretionary,"Auburn Hills, Michigan",0.68,1.72,42.6875323,-83.2341028
57,BXP,Boston Properties,Real Estate,"Boston, Massachusetts",3.35,3.32,42.3600825,-71.0588801
58,BMY,Bristol Myers Squibb,Health Care,"New York City, New York",1.59,3.09,40.7127753,-74.0059728
59,AVGO,Broadcom Inc.,Information Technology,"San Jose, California",7.0,3.31,37.33874,-121.8852525
60,BR,Broadridge Financial Solutions,Industrials,"Lake Success, New York",1.58,1.56,40.7698453,-73.70904279999999
61,BRO,Brown & Brown,Financials,"Daytona Beach, Florida",0.45,1.78,29.2108147,-81.0228331
62,BG,Bunge Limited,Consumer Staples,"Chesterfield, Missouri",1.88,3.23,38.6631083,-90.5770675
63,CHRW,C.H. Robinson,Industrials,"Eden Prairie, Minnesota",1.84,2.3,44.8546856,-93.47078599999999
64,CPT,Camden Property Trust,Real Estate,"Houston, Texas",3.06,4.02,29.7604267,-95.3698028
65,CPB,Campbell Soup Company,Consumer Staples,"Camden, New Jersey",1.4,3.76,39.9259463,-75.1196199
66,COF,Capital One,Financials,"Tysons Corner, Virginia",1.6,1.91,38.9187222,-77.2310925
67,CAH,Cardinal Health,Health Care,"Dublin, Ohio",1.88,4.01,40.0992294,-83.1140771
68,CCL,Carnival,Consumer Discretionary,"Miami, Florida",1.9,3.15,25.7616798,-80.1917902
69,CAT,Caterpillar Inc.,Industrials,"Irving, Texas",3.2,2.48,32.8140177,-96.9488945
70,CBOE,Cboe Global Markets,Financials,"Chicago, Illinois",1.12,1.13,41.8781136,-87.6297982
71,CDW,CDW,Information Technology,"Lincolnshire, Illinois",0.84,1.18,42.1900249,-87.9084039
72,CE,Celanese,Materials,"Irving, Texas",2.0,2.08,32.8140177,-96.9488945
73,CNP,CenterPoint Energy,Utilities,"Houston, Texas",1.1,4.77,29.7604267,-95.3698028
74,CF,CF Industries,Materials,"Deerfield, Illinois",1.2,3.38,42.1711365,-87.8445119
75,SCHW,Charles Schwab Corporation,Financials,"Westlake, Texas",0.41,0.87,32.991235,-97.19501380000001
76,CVX,Chevron Corporation,Energy,"San Ramon, California",4.44,4.7,37.7643595,-121.9539616
77,CB,Chubb Limited,Financials,"Zurich, Switzerland",2.88,2.33,47.3768866,8.541694
78,CHD,Church & Dwight,Consumer Staples,"Ewing, New Jersey",0.84,1.83,40.2599864,-74.79091249999999
79,CI,Cigna,Health Care,"Bloomfield, Connecticut",0.04,0.02,41.826488,-72.73009449999999
80,CINF,Cincinnati Financial,Financials,"Fairfield, Ohio",2.59,4.01,39.3454673,-84.5603187
81,CTAS,Cintas,Industrials,"Mason, Ohio",1.62,1.18,39.3600586,-84.309939
82,CSCO,Cisco,Information Technology,"San Jose, California",1.24,3.75,37.33874,-121.8852525
83,C,Citigroup,Financials,"New York City, New York",1.41,2.33,40.7127753,-74.0059728
84,CFG,Citizens Financial Group,Financials,"Providence, Rhode Island",0.89,2.71,41.8239891,-71.4128343
85,CLX,Clorox,Consumer Staples,"Oakland, California",3.6,3.22,37.8043514,-122.2711639
86,CME,CME Group,Financials,"Chicago, Illinois",6.26,4.83,41.8781136,-87.6297982
87,CMS,CMS Energy,Utilities,"Jackson, Michigan",1.4,3.55,42.245869,-84.40134619999999
88,KO,Coca-Cola Company (The),Consumer Staples,"Atlanta, Georgia",1.54,4.05,33.748752,-84.38768449999999
89,CTSH,Cognizant,Information Technology,"Teaneck, New Jersey",0.75,1.05,40.8932469,-74.0116536
90,CL,Colgate-Palmolive,Consumer Staples,"New York City, New York",1.64,2.63,40.7127753,-74.0059728
91,CMCSA,Comcast,Communication Services,"Philadelphia, Pennsylvania",0.7,2.18,39.9525839,-75.1652215
92,CMA,Comerica,Financials,"Dallas, Texas",1.54,2.08,32.7766642,-96.79698789999999
93,CAG,Conagra Brands,Consumer Staples,"Chicago, Illinois",0.85,2.78,41.8781136,-87.6297982
94,COP,ConocoPhillips,Energy,"Houston, Texas",1.12,2.28,29.7604267,-95.3698028
95,ED,Consolidated Edison,Utilities,"New York City, New York",2.83,4.35,40.7127753,-74.0059728
96,STZ,Constellation Brands,Consumer Staples,"Victor, New York",2.52,1.26,42.9825633,-77.4088794
97,COO,CooperCompanies,Health Care,"San Ramon, California",0.06,0.02,37.7643595,-121.9539616
98,GLW,Corning Inc.,Information Technology,"Corning, New York",0.69,2.69,42.1428521,-77.05469029999999
99,COST,Costco,Consumer Staples,"Issaquah, Washington",2.14,1.17,47.5301011,-122.0326191
100,CTRA,Coterra,Energy,"Houston, Texas",0.23,1.12,29.7604267,-95.3698028
101,CCI,Crown Castle,Real Estate,"Houston, Texas",4.2,4.66,29.7604267,-95.3698028
102,CSX,CSX,Industrials,"Jacksonville, Florida",0.86,4.51,30.3321838,-81.65565099999999
103,CMI,Cummins,Industrials,"Columbus, Indiana",4.38,3.24,39.2014404,-85.9213796
104,CVS,CVS Health,Health Care,"Woonsocket, Rhode Island",2.0,3.27,42.00287609999999,-71.51478390000001
105,DHI,D.R. Horton,Consumer Discretionary,"Arlington, Texas",0.5,1.16,32.735687,-97.10806559999999
106,DHR,Danaher Corporation,Health Care,"Washington, D.C.",0.62,0.64,38.9071923,-77.0368707
107,DRI,Darden Restaurants,Consumer Discretionary,"Orlando, Florida",2.64,3.26,28.5383832,-81.3789269
108,DE,John Deere,Industrials,"Moline, Illinois",2.58,1.86,41.5067003,-90.51513419999999
