,ticker,company,industry,location,dividend,dividend_prc,latitude,longitude
0,MMM,3M,Industrials,"Saint Paul, Minnesota",2.03,5.36,44.9537029,-93.0899578
1,AOS,A. O. Smith,Industrials,"Milwaukee, Wisconsin",0.77,18.04,43.0389025,-87.9064736
2,ABT,Abbott,Health Care,"North Chicago, Illinois",1.52,9.26,42.325578,-87.8411818
3,ACN,Accenture,Information Technology,"Dublin, Ireland",1.0,4.11,53.3498053,-6.2603097
4,ADM,ADM,Consumer Staples,"Chicago, Illinois",0.55,2.98,41.8781136,-87.6297982
5,ADP,ADP,Industrials,"Roseland, New Jersey",1.32,5.73,40.8206555,-74.2937594
6,AAP,Advance Auto Parts,Consumer Discretionary,"Raleigh, North Carolina",0.24,0.72,35.7795897,-78.6381787
7,AES,AES Corporation,Utilities,"Arlington, Virginia",0.84,17.27,38.8816208,-77.09098089999999
8,AFL,Aflac,Financials,"Columbus, Georgia",1.08,9.89,32.4609764,-84.9877094
9,APD,Air Products and Chemicals,Materials,"Allentown, Pennsylvania",1.79,4.23,40.6022939,-75.4714098
10,ALB,Albemarle Corporation,Materials,"Charlotte, North Carolina",0.5,2.61,35.2270869,-80.8431267
11,ARE,Alexandria Real Estate Equities,Real Estate,"Pasadena, California",2.3,8.2,34.1477849,-118.1445155
12,LNT,Alliant Energy,Utilities,"Madison, Wisconsin",1.48,18.48,43.0721661,-89.4007501
13,ALL,Allstate,Financials,"Glenview, Illinois",1.01,6.19,42.0778065,-87.8223368
14,MO,Altria,Consumer Staples,"Richmond, Virginia",1.3,18.22,37.5407246,-77.4360481
15,AEE,Ameren,Utilities,"St. Louis, Missouri",1.79,12.07,38.6270025,-90.19940419999999
16,AEP,American Electric Power,Utilities,"Columbus, Ohio",1.64,9.75,39.9611755,-82.99879419999999
17,AXP,American Express,Financials,"New York City, New York",0.9,4.92,40.7127753,-74.0059728
18,AWK,American Water Works,Utilities,"Camden, New Jersey",0.81,5.94,39.9259463,-75.1196199
19,AMP,Ameriprise Financial,Financials,"Minneapolis, Minnesota",0.68,3.92,44.977753,-93.2650108
20,ABC,AmerisourceBergen,Health Care,"Conshohocken, Pennsylvania",0.36,2.6,40.0792766,-75.3015714
21,AME,Ametek,Industrials,"Berwyn, Pennsylvania",0.24,1.81,40.045824,-75.4395931
22,APH,Amphenol,Information Technology,"Wallingford, Connecticut",0.06,0.99,41.4570108,-72.8230736
23,ADI,Analog Devices,Information Technology,"Wilmington, Massachusetts",0.8,5.3,42.5481714,-71.1724467
24,AON,Aon,Financials,"London, UK",0.6,1.79,51.5072178,-0.1275862
25,APA,APA Corporation,Energy,"Houston, Texas",0.6,1.02,29.7604267,-95.3698028
26,AMAT,Applied Materials,Information Technology,"Santa Clara, California",0.24,2.77,37.3541079,-121.9552356
27,AJG,Arthur J. Gallagher & Co.,Financials,"Rolling Meadows, Illinois",1.28,8.97,42.0841936,-88.0131275
28,AIZ,Assurant,Financials,"New York City, New York",0.58,3.89,40.7127753,-74.0059728
29,T,AT&T,Communication Services,"Dallas, Texas",1.63,19.84,32.7766642,-96.79698789999999
30,ATO,Atmos Energy,Utilities,"Dallas, Texas",1.32,8.27,32.7766642,-96.79698789999999
31,AVB,AvalonBay Communities,Real Estate,"Arlington, Virginia",6.27,17.02,38.8816208,-77.09098089999999
32,AVY,Avery Dennison,Materials,"Glendale, California",1.43,8.07,34.1425078,-118.255075
33,BALL,Ball Corporation,Materials,"Broomfield, Colorado",0.4,4.51,39.9205411,-105.0866504
34,BAC,Bank of America,Financials,"Charlotte, North Carolina",2.07,9.72,35.2270869,-80.8431267
35,BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,"Columbus, Ohio",0.6,15.08,39.9611755,-82.99879419999999
36,BAX,Baxter International,Health Care,"Deerfield, Illinois",1.04,4.81,42.1711365,-87.8445119
37,BDX,Becton Dickinson,Health Care,"Franklin Lakes, New Jersey",1.32,2.6,41.0167639,-74.2057011
38,WRB,Berkley,Financials,"Greenwich, Connecticut",0.24,2.89,41.0262417,-73.6281964
39,BBY,Best Buy,Consumer Discretionary,"Richfield, Minnesota",0.56,2.59,44.8832982,-93.28300209999999
40,TECH,Bio-Techne,Health Care,"Minneapolis, Minnesota",1.0,7.78,44.977753,-93.2650108
41,BLK,BlackRock,Financials,"New York City, New York",3.12,3.54,40.7127753,-74.0059728
42,BK,BNY Mellon,Financials,"New York City, New York",0.66,3.51,40.7127753,-74.0059728
43,BA,Boeing,Industrials,"Chicago, Illinois",1.66,4.88,41.8781136,-87.6297982
