,ticker,company,industry,location,dividend,dividend_prc,latitude,longitude
0,MMM,3M,Industrials,"Saint Paul, Minnesota",1.9,3.68,44.9537029,-93.0899578
1,AOS,A. O. Smith,Industrials,"Milwaukee, Wisconsin",0.69,13.57,43.0389025,-87.9064736
2,ABT,Abbott,Health Care,"North Chicago, Illinois",1.24,7.3,42.325578,-87.8411818
3,ACN,Accenture,Information Technology,"Dublin, Ireland",0.35,1.5,53.3498053,-6.2603097
4,ADM,ADM,Consumer Staples,"Chicago, Illinois",0.44,1.88,41.8781136,-87.6297982
5,ADP,ADP,Industrials,"Roseland, New Jersey",6.01,22.53,40.8206555,-74.2937594
6,AAP,Advance Auto Parts,Consumer Discretionary,"Raleigh, North Carolina",0.24,0.72,35.7795897,-78.6381787
7,AFL,Aflac,Financials,"Columbus, Georgia",0.75,4.56,32.4609764,-84.9877094
8,APD,Air Products and Chemicals,Materials,"Allentown, Pennsylvania",1.48,2.76,40.6022939,-75.4714098
9,ALB,Albemarle Corporation,Materials,"Charlotte, North Carolina",0.49,1.62,35.2270869,-80.8431267
10,ARE,Alexandria Real Estate Equities,Real Estate,"Pasadena, California",3.0,5.07,34.1477849,-118.1445155
11,LNT,Alliant Energy,Utilities,"Madison, Wisconsin",1.24,11.46,43.0721661,-89.4007501
12,ALL,Allstate,Financials,"Glenview, Illinois",1.49,3.72,42.0778065,-87.8223368
13,MO,Altria,Consumer Staples,"Richmond, Virginia",25.73,321.58,37.5407246,-77.4360481
14,AEE,Ameren,Utilities,"St. Louis, Missouri",2.54,9.56,38.6270025,-90.19940419999999
15,AEP,American Electric Power,Utilities,"Columbus, Ohio",1.56,6.54,39.9611755,-82.99879419999999
16,AXP,American Express,Financials,"New York City, New York",0.6,1.32,40.7127753,-74.0059728
17,AIG,American International Group,Financials,"New York City, New York",0.7,0.08,40.7127753,-74.0059728
18,AMP,Ameriprise Financial,Financials,"Minneapolis, Minnesota",0.52,1.3,44.977753,-93.2650108
19,ABC,AmerisourceBergen,Health Care,"Conshohocken, Pennsylvania",1.6,8.64,40.0792766,-75.3015714
20,AME,Ametek,Industrials,"Berwyn, Pennsylvania",0.24,1.67,40.045824,-75.4395931
21,APH,Amphenol,Information Technology,"Wallingford, Connecticut",0.09,1.19,41.4570108,-72.8230736
22,ADI,Analog Devices,Information Technology,"Wilmington, Massachusetts",0.7,2.97,42.5481714,-71.1724467
23,AON,Aon,Financials,"London, UK",0.6,1.94,51.5072178,-0.1275862
24,APA,APA Corporation,Energy,"Houston, Texas",0.6,1.04,29.7604267,-95.3698028
25,AMAT,Applied Materials,Information Technology,"Santa Clara, California",0.22,1.5,37.3541079,-121.9552356
26,AJG,Arthur J. Gallagher & Co.,Financials,"Rolling Meadows, Illinois",1.23,7.13,42.0841936,-88.0131275
27,AIZ,Assurant,Financials,"New York City, New York",0.44,1.1,40.7127753,-74.0059728
28,T,AT&T,Communication Services,"Dallas, Texas",1.4,13.04,32.7766642,-96.79698789999999
29,ATO,Atmos Energy,Utilities,"Dallas, Texas",1.28,6.99,32.7766642,-96.79698789999999
30,AVB,AvalonBay Communities,Real Estate,"Arlington, Virginia",3.33,4.86,38.8816208,-77.09098089999999
31,AVY,Avery Dennison,Materials,"Glendale, California",1.6,3.76,34.1425078,-118.255075
32,BALL,Ball Corporation,Materials,"Broomfield, Colorado",0.4,3.85,39.9205411,-105.0866504
33,BAC,Bank of America,Financials,"Charlotte, North Carolina",2.32,6.44,35.2270869,-80.8431267
34,BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,"Columbus, Ohio",0.6,6.6,39.9611755,-82.99879419999999
35,BAX,Baxter International,Health Care,"Deerfield, Illinois",1.08,5.52,42.1711365,-87.8445119
36,BDX,Becton Dickinson,Health Care,"Franklin Lakes, New Jersey",0.98,1.77,41.0167639,-74.2057011
37,WRB,Berkley,Financials,"Greenwich, Connecticut",0.19,1.78,41.0262417,-73.6281964
