,ticker,company,industry,location,dividend,dividend_prc,latitude,longitude
0,MMM,3M,Industrials,"Saint Paul, Minnesota",3.93,3.25,44.9537029,-93.0899578
1,AOS,A. O. Smith,Industrials,"Milwaukee, Wisconsin",0.72,2.65,43.0389025,-87.9064736
2,ABT,Abbott,Health Care,"North Chicago, Illinois",0.94,2.42,42.325578,-87.8411818
3,ABBV,AbbVie,Health Care,"North Chicago, Illinois",1.93,4.44,42.325578,-87.8411818
4,ACN,Accenture,Information Technology,"Dublin, Ireland",2.04,2.78,53.3498053,-6.2603097
5,ATVI,Activision Blizzard,Communication Services,"Santa Monica, California",0.23,1.08,34.0194543,-118.4911912
6,ADM,ADM,Consumer Staples,"Chicago, Illinois",1.08,2.75,41.8781136,-87.6297982
7,ADP,ADP,Industrials,"Roseland, New Jersey",11.78,19.49,40.8206555,-74.2937594
8,AAP,Advance Auto Parts,Consumer Discretionary,"Raleigh, North Carolina",0.24,0.16,35.7795897,-78.6381787
9,AES,AES Corporation,Utilities,"Arlington, Virginia",0.35,3.6,38.8816208,-77.09098089999999
10,AFL,Aflac,Financials,"Columbus, Georgia",1.56,6.1,32.4609764,-84.9877094
11,A,Agilent Technologies,Health Care,"Santa Clara, California",16.15,42.62,37.3541079,-121.9552356
12,APD,Air Products and Chemicals,Materials,"Allentown, Pennsylvania",3.2,2.77,40.6022939,-75.4714098
13,ALK,Alaska Air Group,Industrials,"SeaTac, Washington",0.73,1.18,47.4435903,-122.2960726
14,ALB,Albemarle Corporation,Materials,"Charlotte, North Carolina",1.14,2.45,35.2270869,-80.8431267
15,ARE,Alexandria Real Estate Equities,Real Estate,"Pasadena, California",3.02,4.26,34.1477849,-118.1445155
16,ALLE,Allegion,Industrials,"New York City, New York",0.38,0.71,40.7127753,-74.0059728
17,LNT,Alliant Energy,Utilities,"Madison, Wisconsin",2.16,8.9,43.0721661,-89.4007501
18,ALL,Allstate,Financials,"Glenview, Illinois",1.18,2.13,42.0778065,-87.8223368
19,MO,Altria,Consumer Staples,"Richmond, Virginia",2.12,6.88,37.5407246,-77.4360481
20,AEE,Ameren,Utilities,"St. Louis, Missouri",1.64,5.21,38.6270025,-90.19940419999999
21,AAL,American Airlines Group,Industrials,"Fort Worth, Texas",0.4,0.94,32.7554883,-97.3307658
22,AEP,American Electric Power,Utilities,"Columbus, Ohio",2.12,4.98,39.9611755,-82.99879419999999
23,AXP,American Express,Financials,"New York City, New York",1.07,1.47,40.7127753,-74.0059728
24,AIG,American International Group,Financials,"New York City, New York",0.66,1.4,40.7127753,-74.0059728
25,AMT,American Tower,Real Estate,"Boston, Massachusetts",1.7,2.14,42.3600825,-71.0588801
26,AWK,American Water Works,Utilities,"Camden, New Jersey",1.3,2.85,39.9259463,-75.1196199
27,AMP,Ameriprise Financial,Financials,"Minneapolis, Minnesota",2.5,2.37,44.977753,-93.2650108
28,ABC,AmerisourceBergen,Health Care,"Conshohocken, Pennsylvania",1.16,1.31,40.0792766,-75.3015714
29,AME,Ametek,Industrials,"Berwyn, Pennsylvania",0.36,0.72,40.045824,-75.4395931
30,AMGN,Amgen,Health Care,"Thousand Oaks, California",2.98,2.34,34.1705609,-118.8375937
31,APH,Amphenol,Information Technology,"Wallingford, Connecticut",0.52,2.06,41.4570108,-72.8230736
