,ticker,company,industry,location,dividend,dividend_prc,latitude,longitude
0,MMM,3M,Industrials,"Saint Paul, Minnesota",1.41,3.03,44.9537029,-93.0899578
1,AOS,A. O. Smith,Industrials,"Milwaukee, Wisconsin",0.71,19.26,43.0389025,-87.9064736
2,ABT,Abbott,Health Care,"North Chicago, Illinois",3.93,31.06,42.325578,-87.8411818
3,ADM,ADM,Consumer Staples,"Chicago, Illinois",0.29,2.75,41.8781136,-87.6297982
4,ADBE,Adobe Inc.,Information Technology,"San Jose, California",0.05,0.23,37.33874,-121.8852525
5,ADP,ADP,Industrials,"Roseland, New Jersey",0.56,2.68,40.8206555,-74.2937594
6,AFL,Aflac,Financials,"Columbus, Georgia",0.36,2.91,32.4609764,-84.9877094
7,APD,Air Products and Chemicals,Materials,"Allentown, Pennsylvania",1.04,3.14,40.6022939,-75.4714098
8,ALB,Albemarle Corporation,Materials,"Charlotte, North Carolina",0.58,5.12,35.2270869,-80.8431267
9,ARE,Alexandria Real Estate Equities,Real Estate,"Pasadena, California",2.44,7.39,34.1477849,-118.1445155
10,LNT,Alliant Energy,Utilities,"Madison, Wisconsin",1.0,16.11,43.0721661,-89.4007501
11,ALL,Allstate,Financials,"Glenview, Illinois",1.08,3.89,42.0778065,-87.8223368
12,MO,Altria,Consumer Staples,"Richmond, Virginia",2.77,69.11,37.5407246,-77.4360481
13,AEE,Ameren,Utilities,"St. Louis, Missouri",2.54,12.67,38.6270025,-90.19940419999999
14,AEP,American Electric Power,Utilities,"Columbus, Ohio",1.4,9.88,39.9611755,-82.99879419999999
15,AXP,American Express,Financials,"New York City, New York",0.4,1.23,40.7127753,-74.0059728
16,AIG,American International Group,Financials,"New York City, New York",0.27,0.03,40.7127753,-74.0059728
17,ABC,AmerisourceBergen,Health Care,"Conshohocken, Pennsylvania",0.1,0.9,40.0792766,-75.3015714
18,AME,Ametek,Industrials,"Berwyn, Pennsylvania",0.24,3.49,40.045824,-75.4395931
19,ADI,Analog Devices,Information Technology,"Wilmington, Massachusetts",0.2,0.7,42.5481714,-71.1724467
20,AON,Aon,Financials,"London, UK",0.6,3.13,51.5072178,-0.1275862
21,APA,APA Corporation,Energy,"Houston, Texas",0.3,0.97,29.7604267,-95.3698028
22,AJG,Arthur J. Gallagher & Co.,Financials,"Rolling Meadows, Illinois",0.93,5.47,42.0841936,-88.0131275
23,AIZ,Assurant,Financials,"New York City, New York",0.14,0.77,40.7127753,-74.0059728
24,T,AT&T,Communication Services,"Dallas, Texas",2.27,37.25,32.7766642,-96.79698789999999
25,ATO,Atmos Energy,Utilities,"Dallas, Texas",1.22,9.57,32.7766642,-96.79698789999999
26,ADSK,Autodesk,Information Technology,"San Francisco, California",0.15,1.05,37.7749295,-122.4194155
