,ticker,company,industry,location,dividend,dividend_prc,latitude,longitude
0,MMM,3M,Industrials,"Saint Paul, Minnesota",3.2,3.13,44.9537029,-93.0899578
1,AOS,A. O. Smith,Industrials,"Milwaukee, Wisconsin",0.57,2.77,43.0389025,-87.9064736
2,ABT,Abbott,Health Care,"North Chicago, Illinois",0.8,2.52,42.325578,-87.8411818
3,ABBV,AbbVie,Health Care,"North Chicago, Illinois",1.64,4.94,42.325578,-87.8411818
4,ACN,Accenture,Information Technology,"Dublin, Ireland",1.86,2.96,53.3498053,-6.2603097
5,ATVI,Activision Blizzard,Communication Services,"Santa Monica, California",0.2,1.01,34.0194543,-118.4911912
6,ADM,ADM,Consumer Staples,"Chicago, Illinois",0.91,2.69,41.8781136,-87.6297982
7,ADP,ADP,Industrials,"Roseland, New Jersey",1.92,3.37,40.8206555,-74.2937594
8,AAP,Advance Auto Parts,Consumer Discretionary,"Raleigh, North Carolina",0.24,0.21,35.7795897,-78.6381787
9,AES,AES Corporation,Utilities,"Arlington, Virginia",0.19,1.79,38.8816208,-77.09098089999999
10,AFL,Aflac,Financials,"Columbus, Georgia",1.48,5.85,32.4609764,-84.9877094
11,A,Agilent Technologies,Health Care,"Santa Clara, California",0.53,1.39,37.3541079,-121.9552356
12,APD,Air Products and Chemicals,Materials,"Allentown, Pennsylvania",3.02,3.06,40.6022939,-75.4714098
13,ALK,Alaska Air Group,Industrials,"SeaTac, Washington",0.82,2.13,47.4435903,-122.2960726
14,ALB,Albemarle Corporation,Materials,"Charlotte, North Carolina",1.06,1.81,35.2270869,-80.8431267
15,ARE,Alexandria Real Estate Equities,Real Estate,"Pasadena, California",2.82,5.22,34.1477849,-118.1445155
16,ALLE,Allegion,Industrials,"New York City, New York",0.24,0.49,40.7127753,-74.0059728
17,LNT,Alliant Energy,Utilities,"Madison, Wisconsin",2.0,9.78,43.0721661,-89.4007501
18,ALL,Allstate,Financials,"Glenview, Illinois",1.09,2.32,42.0778065,-87.8223368
19,GOOGL,Alphabet Inc. (Class A),Communication Services,"Mountain View, California",567.97,1987.65,37.3860517,-122.0838511
20,MO,Altria,Consumer Staples,"Richmond, Virginia",1.96,8.52,37.5407246,-77.4360481
21,AEE,Ameren,Utilities,"St. Louis, Missouri",1.6,5.57,38.6270025,-90.19940419999999
22,AAL,American Airlines Group,Industrials,"Fort Worth, Texas",0.1,0.27,32.7554883,-97.3307658
23,AEP,American Electric Power,Utilities,"Columbus, Ohio",2.0,5.66,39.9611755,-82.99879419999999
24,AXP,American Express,Financials,"New York City, New York",0.95,1.26,40.7127753,-74.0059728
25,AIG,American International Group,Financials,"New York City, New York",0.48,1.12,40.7127753,-74.0059728
26,AMT,American Tower,Real Estate,"Boston, Massachusetts",1.31,1.85,42.3600825,-71.0588801
27,AWK,American Water Works,Utilities,"Camden, New Jersey",1.18,3.17,39.9259463,-75.1196199
28,AMP,Ameriprise Financial,Financials,"Minneapolis, Minnesota",2.2,2.5,44.977753,-93.2650108
29,ABC,AmerisourceBergen,Health Care,"Conshohocken, Pennsylvania",0.94,1.55,40.0792766,-75.3015714
30,AME,Ametek,Industrials,"Berwyn, Pennsylvania",0.3,0.61,40.045824,-75.4395931
31,AMGN,Amgen,Health Care,"Thousand Oaks, California",2.3,2.51,34.1705609,-118.8375937
32,APH,Amphenol,Information Technology,"Wallingford, Connecticut",0.85,3.94,41.4570108,-72.8230736
33,ADI,Analog Devices,Information Technology,"Wilmington, Massachusetts",1.45,3.5,42.5481714,-71.1724467
34,AON,Aon,Financials,"London, UK",0.85,1.12,51.5072178,-0.1275862
35,APA,APA Corporation,Energy,"Houston, Texas",0.9,1.2,29.7604267,-95.3698028
36,AAPL,Apple Inc.,Information Technology,"Cupertino, California",9.86,57.42,37.3229978,-122.0321823
37,AMAT,Applied Materials,Information Technology,"Santa Clara, California",0.4,2.36,37.3541079,-121.9552356
38,APTV,Aptiv,Consumer Discretionary,"Dublin, Ireland",0.92,1.86,53.3498053,-6.2603097
39,AJG,Arthur J. Gallagher & Co.,Financials,"Rolling Meadows, Illinois",1.43,3.77,42.0841936,-88.0131275
40,AIZ,Assurant,Financials,"New York City, New York",1.04,1.94,40.7127753,-74.0059728
41,T,AT&T,Communication Services,"Dallas, Texas",1.83,12.24,32.7766642,-96.79698789999999
42,ATO,Atmos Energy,Utilities,"Dallas, Texas",1.48,3.88,32.7766642,-96.79698789999999
43,AVB,AvalonBay Communities,Real Estate,"Arlington, Virginia",4.55,4.62,38.8816208,-77.09098089999999
44,AVY,Avery Dennison,Materials,"Glendale, California",1.28,3.11,34.1425078,-118.255075
45,BALL,Ball Corporation,Materials,"Broomfield, Colorado",0.52,1.98,39.9205411,-105.0866504
46,BAC,Bank of America,Financials,"Charlotte, North Carolina",0.08,0.59,35.2270869,-80.8431267
47,BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,"Columbus, Ohio",2.32,7.09,39.9611755,-82.99879419999999
48,BAX,Baxter International,Health Care,"Deerfield, Illinois",2.02,6.01,42.1711365,-87.8445119
49,BDX,Becton Dickinson,Health Care,"Franklin Lakes, New Jersey",2.18,2.23,41.0167639,-74.2057011
50,WRB,Berkley,Financials,"Greenwich, Connecticut",0.42,2.57,41.0262417,-73.6281964
51,BBY,Best Buy,Consumer Discretionary,"Richfield, Minnesota",0.7,3.02,44.8832982,-93.28300209999999
52,TECH,Bio-Techne,Health Care,"Minneapolis, Minnesota",1.24,5.93,44.977753,-93.2650108
53,BLK,BlackRock,Financials,"New York City, New York",7.47,3.01,40.7127753,-74.0059728
54,BK,BNY Mellon,Financials,"New York City, New York",0.64,2.34,40.7127753,-74.0059728
55,BA,Boeing,Industrials,"Chicago, Illinois",2.68,2.45,41.8781136,-87.6297982
56,BWA,BorgWarner,Consumer Discretionary,"Auburn Hills, Michigan",0.63,1.48,42.6875323,-83.2341028
57,BXP,Boston Properties,Real Estate,"Boston, Massachusetts",4.85,6.47,42.3600825,-71.0588801
58,BMY,Bristol Myers Squibb,Health Care,"New York City, New York",1.43,3.76,40.7127753,-74.0059728
59,AVGO,Broadcom Inc.,Information Technology,"San Jose, California",1.13,2.12,37.33874,-121.8852525
60,BR,Broadridge Financial Solutions,Industrials,"Lake Success, New York",0.9,2.66,40.7698453,-73.70904279999999
61,BRO,Brown & Brown,Financials,"Daytona Beach, Florida",0.4,2.86,29.2108147,-81.0228331
62,BG,Bunge Limited,Consumer Staples,"Chesterfield, Missouri",1.24,2.01,38.6631083,-90.5770675
63,CHRW,C.H. Robinson,Industrials,"Eden Prairie, Minnesota",1.4,2.97,44.8546856,-93.47078599999999
64,CPT,Camden Property Trust,Real Estate,"Houston, Texas",2.61,5.72,29.7604267,-95.3698028
65,CPB,Campbell Soup Company,Consumer Staples,"Camden, New Jersey",1.25,3.81,39.9259463,-75.1196199
66,COF,Capital One,Financials,"Tysons Corner, Virginia",1.2,1.95,38.9187222,-77.2310925
67,CAH,Cardinal Health,Health Care,"Dublin, Ohio",1.29,2.4,40.0992294,-83.1140771
68,CCL,Carnival,Consumer Discretionary,"Miami, Florida",1.0,3.13,25.7616798,-80.1917902
69,CAT,Caterpillar Inc.,Industrials,"Irving, Texas",2.5,3.35,32.8140177,-96.9488945
70,CBOE,Cboe Global Markets,Financials,"Chicago, Illinois",1.25,2.72,41.8781136,-87.6297982
71,CDW,CDW,Information Technology,"Lincolnshire, Illinois",0.17,0.72,42.1900249,-87.9084039
72,CE,Celanese,Materials,"Irving, Texas",0.86,1.82,32.8140177,-96.9488945
73,CNP,CenterPoint Energy,Utilities,"Houston, Texas",0.92,5.38,29.7604267,-95.3698028
74,CF,CF Industries,Materials,"Deerfield, Illinois",4.5,12.41,42.1711365,-87.8445119
75,SCHW,Charles Schwab Corporation,Financials,"Westlake, Texas",0.24,1.07,32.991235,-97.19501380000001
76,CVX,Chevron Corporation,Energy,"San Ramon, California",4.14,5.07,37.7643595,-121.9539616
77,CB,Chubb Limited,Financials,"Zurich, Switzerland",4.5,5.57,47.3768866,8.541694
78,CHD,Church & Dwight,Consumer Staples,"Ewing, New Jersey",1.21,4.18,40.2599864,-74.79091249999999
79,CI,Cigna,Health Care,"Bloomfield, Connecticut",0.04,0.05,41.826488,-72.73009449999999
80,CINF,Cincinnati Financial,Financials,"Fairfield, Ohio",1.74,4.69,39.3454673,-84.5603187
81,CTAS,Cintas,Industrials,"Mason, Ohio",0.77,1.62,39.3600586,-84.309939
82,CSCO,Cisco,Information Technology,"San Jose, California",0.91,5.13,37.33874,-121.8852525
83,C,Citigroup,Financials,"New York City, New York",0.04,0.1,40.7127753,-74.0059728
84,CLX,Clorox,Consumer Staples,"Oakland, California",2.87,4.12,37.8043514,-122.2711639
85,CME,CME Group,Financials,"Chicago, Illinois",4.46,8.25,41.8781136,-87.6297982
86,CMS,CMS Energy,Utilities,"Jackson, Michigan",1.06,4.98,42.245869,-84.40134619999999
87,KO,Coca-Cola Company (The),Consumer Staples,"Atlanta, Georgia",1.19,3.97,33.748752,-84.38768449999999
88,CL,Colgate-Palmolive,Consumer Staples,"New York City, New York",1.4,2.65,40.7127753,-74.0059728
89,CMCSA,Comcast,Communication Services,"Philadelphia, Pennsylvania",0.87,4.0,39.9525839,-75.1652215
90,CMA,Comerica,Financials,"Dallas, Texas",0.76,2.09,32.7766642,-96.79698789999999
91,CAG,Conagra Brands,Consumer Staples,"Chicago, Illinois",1.0,5.45,41.8781136,-87.6297982
92,COP,ConocoPhillips,Energy,"Houston, Texas",2.8,5.14,29.7604267,-95.3698028
93,ED,Consolidated Edison,Utilities,"New York City, New York",2.5,6.42,40.7127753,-74.0059728
94,COO,CooperCompanies,Health Care,"San Ramon, California",0.06,0.04,37.7643595,-121.9539616
95,GLW,Corning Inc.,Information Technology,"Corning, New York",0.4,2.62,42.1428521,-77.05469029999999
96,COST,Costco,Consumer Staples,"Issaquah, Washington",1.33,1.36,47.5301011,-122.0326191
97,CTRA,Coterra,Energy,"Houston, Texas",0.08,0.28,29.7604267,-95.3698028
98,CCI,Crown Castle,Real Estate,"Houston, Texas",1.05,1.93,29.7604267,-95.3698028
99,CSX,CSX,Industrials,"Jacksonville, Florida",0.62,7.53,30.3321838,-81.65565099999999
100,CMI,Cummins,Industrials,"Columbus, Indiana",2.66,2.42,39.2014404,-85.9213796
101,CVS,CVS Health,Health Care,"Woonsocket, Rhode Island",1.05,1.9,42.00287609999999,-71.51478390000001
102,DHI,D.R. Horton,Consumer Discretionary,"Arlington, Texas",0.14,0.71,32.735687,-97.10806559999999
103,DHR,Danaher Corporation,Health Care,"Washington, D.C.",0.32,0.58,38.9071923,-77.0368707
104,DRI,Darden Restaurants,Consumer Discretionary,"Orlando, Florida",2.2,6.74,28.5383832,-81.3789269
105,DE,John Deere,Industrials,"Moline, Illinois",2.22,3.01,41.5067003,-90.51513419999999
106,DAL,Delta Air Lines,Industrials,"Atlanta, Georgia",0.27,0.92,33.748752,-84.38768449999999
107,XRAY,Dentsply Sirona,Health Care,"Charlotte, North Carolina",0.26,0.6,35.2270869,-80.8431267
108,DVN,Devon Energy,Energy,"Oklahoma City, Oklahoma",0.92,1.87,35.4675602,-97.5164276
109,DLR,Digital Realty,Real Estate,"Austin, Texas",3.27,8.59,30.267153,-97.7430608
110,DFS,Discover Financial,Financials,"Riverwoods, Illinois",0.88,1.94,42.1675254,-87.897014
111,DIS,Disney,Communication Services,"Burbank, California",0.86,1.34,34.1808392,-118.3089661
112,D,Dominion Energy,Utilities,"Richmond, Virginia",2.36,5.02,37.5407246,-77.4360481
113,DPZ,Domino's,Consumer Discretionary,"Ann Arbor, Michigan",0.95,1.4,42.2808256,-83.7430378
114,DOV,Dover Corporation,Industrials,"Downers Grove, Illinois",17.6,32.95,41.8089191,-88.01117459999999
115,DTE,DTE Energy,Utilities,"Detroit, Michigan",2.66,5.87,42.331427,-83.0457538
116,DUK,Duke Energy,Utilities,"Charlotte, North Carolina",3.14,6.47,35.2270869,-80.8431267
117,DD,DuPont,Materials,"Wilmington, Delaware",1.82,1.74,39.744655,-75.5483909
118,EMN,Eastman Chemical Company,Materials,"Kingsport, Tennessee",1.4,2.21,36.548434,-82.5618186
119,ETN,Eaton Corporation,Industrials,"Dublin, Ireland",1.89,3.45,53.3498053,-6.2603097
120,ECL,Ecolab,Materials,"Saint Paul, Minnesota",1.1,1.12,44.9537029,-93.0899578
121,EIX,Edison International,Utilities,"Rosemead, California",1.42,3.74,34.0805651,-118.072846
122,ELV,Elevance Health,Health Care,"Indianapolis, Indiana",1.69,1.9,39.768403,-86.158068
123,LLY,Eli Lilly and Company,Health Care,"Indianapolis, Indiana",1.96,4.29,39.768403,-86.158068
124,EMR,Emerson Electric,Industrials,"Ferguson, Missouri",1.72,3.44,38.7442175,-90.3053915
125,ETR,Entergy,Utilities,"New Orleans, Louisiana",3.32,7.23,29.95106579999999,-90.0715323
126,EOG,EOG Resources,Energy,"Houston, Texas",0.62,0.84,29.7604267,-95.3698028
127,EQT,EQT,Energy,"Pittsburgh, Pennsylvania",0.64,1.18,40.44062479999999,-79.9958864
128,EFX,Equifax,Industrials,"Atlanta, Georgia",0.97,1.51,33.748752,-84.38768449999999
129,EQR,Equity Residential,Real Estate,"Chicago, Illinois",2.15,5.95,41.8781136,-87.6297982
130,ESS,Essex Property Trust,Real Estate,"San Mateo, California",5.02,3.95,37.5629917,-122.3255254
131,EL,Estée Lauder Companies (The),Consumer Staples,"New York City, New York",0.8,1.2,40.7127753,-74.0059728
132,EG,Everest Re,Financials,"Hamilton, Bermuda",3.0,2.37,32.2950716,-64.7842417
133,ES,Eversource,Utilities,"Hartford, Connecticut",1.55,4.68,41.7658043,-72.6733723
134,EXC,Exelon,Utilities,"Chicago, Illinois",1.24,7.82,41.8781136,-87.6297982
135,EXPE,Expedia Group,Consumer Discretionary,"Seattle, Washington",0.63,0.91,47.6062095,-122.3320708
136,EXPD,Expeditors International,Industrials,"Seattle, Washington",0.62,1.57,47.6062095,-122.3320708
137,EXR,Extra Space Storage,Real Estate,"Salt Lake City, Utah",1.74,4.93,40.7607793,-111.8910474
138,XOM,ExxonMobil,Energy,"Irving, Texas",2.64,4.17,32.8140177,-96.9488945
139,FDS,FactSet,Financials,"Norwalk, Connecticut",1.48,1.45,41.11774399999999,-73.4081575
140,FICO,Fair Isaac,Information Technology,"Bozeman, Montana",0.08,0.14,45.67931189999999,-111.037259
141,FAST,Fastenal,Industrials,"Winona, Minnesota",1.0,5.5,44.0553908,-91.6663523
142,FRT,Federal Realty,Real Estate,"Rockville, Maryland",3.21,3.91,39.0839973,-77.1527578
143,FDX,FedEx,Industrials,"Memphis, Tennessee",0.7,0.55,35.1495343,-90.0489801
144,FITB,Fifth Third Bank,Financials,"Cincinnati, Ohio",0.5,3.16,39.1031182,-84.5120196
145,FE,FirstEnergy,Utilities,"Akron, Ohio",1.63,7.21,41.0814447,-81.51900529999999
146,FIS,FIS,Financials,"Jacksonville, Florida",0.94,2.02,30.3321838,-81.65565099999999
147,FMC,FMC Corporation,Materials,"Philadelphia, Pennsylvania",0.59,1.27,39.9525839,-75.1652215
148,F,Ford Motor Company,Consumer Discretionary,"Dearborn, Michigan",0.48,4.32,42.3222599,-83.17631449999999
149,BEN,Franklin Templeton,Financials,"San Mateo, California",0.48,1.26,37.5629917,-122.3255254
150,FCX,Freeport-McMoRan,Materials,"Phoenix, Arizona",1.25,4.01,33.4483771,-112.0740373
151,GRMN,Garmin,Consumer Discretionary,"Schaffhausen, Switzerland",1.86,4.77,47.6958897,8.6380488
