,ticker,company,industry,location,dividend,dividend_prc,latitude,longitude
0,MMM,3M,Industrials,"Saint Paul, Minnesota",2.32,3.8,44.9537029,-93.0899578
1,AOS,A. O. Smith,Industrials,"Milwaukee, Wisconsin",0.68,7.18,43.0389025,-87.9064736
2,ABT,Abbott,Health Care,"North Chicago, Illinois",1.98,8.9,42.325578,-87.8411818
3,ACN,Accenture,Information Technology,"Dublin, Ireland",1.35,2.76,53.3498053,-6.2603097
4,ATVI,Activision Blizzard,Communication Services,"Santa Monica, California",0.18,1.57,34.0194543,-118.4911912
5,ADM,ADM,Consumer Staples,"Chicago, Illinois",0.7,3.2,41.8781136,-87.6297982
6,ADP,ADP,Industrials,"Roseland, New Jersey",1.58,4.28,40.8206555,-74.2937594
7,AAP,Advance Auto Parts,Consumer Discretionary,"Raleigh, North Carolina",0.24,0.36,35.7795897,-78.6381787
8,AFL,Aflac,Financials,"Columbus, Georgia",1.32,7.66,32.4609764,-84.9877094
9,A,Agilent Technologies,Health Care,"Santa Clara, California",0.3,1.13,37.3541079,-121.9552356
10,APD,Air Products and Chemicals,Materials,"Allentown, Pennsylvania",2.5,3.91,40.6022939,-75.4714098
11,ALB,Albemarle Corporation,Materials,"Charlotte, North Carolina",0.77,1.61,35.2270869,-80.8431267
12,ARE,Alexandria Real Estate Equities,Real Estate,"Pasadena, California",2.02,4.04,34.1477849,-118.1445155
13,LNT,Alliant Energy,Utilities,"Madison, Wisconsin",1.78,11.74,43.0721661,-89.4007501
14,ALL,Allstate,Financials,"Glenview, Illinois",0.87,3.52,42.0778065,-87.8223368
15,MO,Altria,Consumer Staples,"Richmond, Virginia",1.67,10.08,37.5407246,-77.4360481
16,AEE,Ameren,Utilities,"St. Louis, Missouri",1.6,7.24,38.6270025,-90.19940419999999
17,AEP,American Electric Power,Utilities,"Columbus, Ohio",1.88,7.17,39.9611755,-82.99879419999999
18,AXP,American Express,Financials,"New York City, New York",0.76,1.73,40.7127753,-74.0059728
