,ticker,company,industry,location,dividend,dividend_prc,latitude,longitude
114,D,Dominion Energy,Utilities,"Richmond, Virginia",2.75,5.23,37.5407246,-77.4360481
115,DPZ,Domino's,Consumer Discretionary,"Ann Arbor, Michigan",1.45,1.22,42.2808256,-83.7430378
116,DOV,Dover Corporation,Industrials,"Downers Grove, Illinois",1.7,3.62,41.8089191,-88.01117459999999
117,DTE,DTE Energy,Utilities,"Detroit, Michigan",2.96,4.95,42.331427,-83.0457538
118,DUK,Duke Energy,Utilities,"Charlotte, North Carolina",3.33,5.9,35.2270869,-80.8431267
119,DD,DuPont,Materials,"Wilmington, Delaware",1.52,1.31,39.744655,-75.5483909
120,EMN,Eastman Chemical Company,Materials,"Kingsport, Tennessee",1.84,3.29,36.548434,-82.5618186
121,ETN,Eaton Corporation,Industrials,"Dublin, Ireland",2.26,4.62,53.3498053,-6.2603097
122,ECL,Ecolab,Materials,"Saint Paul, Minnesota",1.4,1.34,44.9537029,-93.0899578
123,EIX,Edison International,Utilities,"Rosemead, California",1.92,3.62,34.0805651,-118.072846
124,ELV,Elevance Health,Health Care,"Indianapolis, Indiana",2.58,2.15,39.768403,-86.158068
125,LLY,Eli Lilly and Company,Health Care,"Indianapolis, Indiana",2.03,3.03,39.768403,-86.158068
126,EMR,Emerson Electric,Industrials,"Ferguson, Missouri",1.9,4.69,38.7442175,-90.3053915
127,ETR,Entergy,Utilities,"New Orleans, Louisiana",3.4,6.32,29.95106579999999,-90.0715323
128,EOG,EOG Resources,Energy,"Houston, Texas",0.67,1.09,29.7604267,-95.3698028
129,EQT,EQT,Energy,"Pittsburgh, Pennsylvania",0.12,0.35,40.44062479999999,-79.9958864
130,EFX,Equifax,Industrials,"Atlanta, Georgia",1.28,1.18,33.748752,-84.38768449999999
131,EQIX,Equinix,Real Estate,"Redwood City, California",17.89,7.11,37.4847955,-122.228141
132,EQR,Equity Residential,Real Estate,"Chicago, Illinois",13.06,25.56,41.8781136,-87.6297982
